memory	c memory management library
locale	localization support
io	file input/output
comment	comments
numeric fenv	floating-point environment
experimental dynamic	dynamic memory extensions
header	c standard library header files
numeric complex	complex number arithmetic
language	c language
program	program support utilities
string wide	null-terminated wide strings
keyword	c keywords
string byte	null-terminated byte strings
algorithm	algorithms
numeric random	pseudo-random number generation
numeric	numerics
preprocessor	preprocessor
links	useful resources
numeric math	common mathematical functions
experimental	experimental c standard libraries
chrono	date and time utilities
string multibyte	null-terminated multibyte strings
thread	thread support library
atomic	atomic operations library
string	strings library
numeric tgmath	type-generic math
variadic	variadic functions
types	type support
error	error handling
cosh arg	floating point value representing a hyperbolic angle
wcsrtombs src	pointer to pointer to the first element of a null-terminated wide string
strtol str_end	pointer to character
fwrite count	the number of the objects to be written
wmemmove src	wide character array to copy from
wcstoimax base	base of the interpreted integer value
rewind stream	file stream to modify
timespec get base	time_utc or another nonzero integer value indicating the time base
div x  y	integer values
fabs arg	floating point value
atomic fetch sub order	the memory synchronization ordering for this operation all values are permitted
wcsrtombs dstsz	max number of bytes that will be written size of the dst array
wcsstr dest	null-terminated wide string to examine
wcsncat dest	null-terminated wide string to append to
fprintf 	arguments specifying data to print
setlocale locale	system-specific locale identifier
setbuf stream	the file stream to set the buffer to
strxfrm dest	first element of the array where the transformed string will be written
fprintf stream	output file stream to write to
to wctrans desc	the lc_ctype mapping obtained from a call to wctrans
is greater y	floating point value
is inf arg	floating point value
strtoimax base	base of the interpreted integer value
va end ap	an instance of the va_list type to clean up
erfc arg	floating point value
strtok str	null-terminated byte string to tokenize
feclearexcept excepts	bitmask listing the exception flags to clear
csqrt z	complex argument
strrchr str	null-terminated byte string to be analyzed
atomic fetch xor obj	atomic object to modify
ctime time	time_t object specifying the time to print
to wctrans wc	the wide character to map
cnd broadcast cond	condition variable
fmax x  y	floating point values
is walnum ch	wide character
tan arg	floating point value representing angle in radians
strtoimax nptr	null-terminated byte string to be interpreted
exit exit_code	exit status of the program
wmemchr count	number of wide characters to examine
round arg	floating point value
cnd init cond	variable to store identifier of the condition variable to
fflush stream	the file stream to write out
clearerr stream	the file to reset the error flags for
mbrtowc pwc	location where the resulting wide character will be written
wmemchr ptr	wide character array to be examined
wcsrtombs retval	size_t object where the result will be stored
mbrtowc ps	conversion state used when interpreting the multibyte string
wcstoimax nptr	null-terminated wide string to be interpreted
is xdigit ch	character to classify
ungetc ch	character to be pushed into the input stream buffer
atomic flag test and set obj	atomic flag object to modify
wcstombs retval	size_t object where the result will be stored
va start parmn	the named parameter preceding the first variable parameter
memcmp count	number of bytes to examine
vfprintf stream	output file stream to write to
mtx destroy mutex	mutex to destroy
qsort size	size of each element in the array in bytes
scalbn exp	integer value
atomic init desired	the value to initialize atomic object with
freopen stream	the file stream to modify
thrd create arg	argument to pass to the function
wcspbrk src	null-terminated wide string that contains the characters to search for
thrd sleep remaining	object to put the remaining time on interruption
csinh z	complex argument
wcscat destsz	maximum number of characters to write typically the size of the destination buffer
strstr substr	null-terminated byte string to search for
wcsstr src	null-terminated wide string to search for
gets str	character string to be written
setbuf buffer	buffer for the stream to use
mbsrtowcs dstsz	max number of wide characters that will be written size of the dst array
pow exponent	exponent as floating point value
is greater x	floating point value
qsort context	additional information e
tss set tss_id	thread-specific storage key obtained from tss_create and not deleted by tss_delete
mbsrtowcs src	pointer to pointer to the first element of a null-terminated multibyte string
mbrtoc32 n	limit on the number of bytes in s that can be examined
mblen s	multibyte character
memcmp lhs  rhs	pointers to the objects to compare
cabs z	complex argument
memchr ptr	object to be examined
asctime time_ptr	tm object specifying the time to print
mbrtoc32 s	multibyte character string used as input
mbsinit ps	mbstate_t object to examine
nextafter from  to	floating point values
wcscat src	null-terminated wide string to copy from
to wupper wc	wide character to be converted
cproj z	complex argument
is lower ch	character to classify
wcsncmp lhs  rhs	pointers to the null-terminated wide strings to compare
wcstoul str	null-terminated wide string to be interpreted
cos arg	floating point value representing angle in radians
trunc arg	floating point value
wmemcpy dest	wide character array to copy to
strncat dest	null-terminated byte string to append to
clog z	complex argument
carg z	complex argument
fread buffer	array where the read objects are stored
