origin	position added offset
iptr	point integral value part floating pointer store
random	generation number pseudo-random
dynamic	extensions dynamic memory
time_end	compare times
new_size	new array size
atomic	operations atomic library
c16	convert character 16-bit
ptr	sort reallocated area object character examined memory array deallocate wide
alignment	specifies alignment
vlist	containing list argument print arguments variable receiving data
envp	status floating-point holds type object environment fenv_t
ts	object type struct timespec n
to	floating values point
program	support program utilities
remaining	put interruption object remaining time
real	real part return complex number
env	save referring setjmp state program variable execution saved
ssz	buffer max bytes number write size
dest	wide analyzed fill string byte object character examine element write instance written null-terminated initialize transformed array copy type va_list append first
condition	type scalar expression
desc	category obtained lc_ctype mapping wctype wctrans call
fenv	environment floating-point
name	string identifying look character environmental null-terminated variable name
substr	search byte null-terminated string
t	ap parameter type next
nptr	wide byte null-terminated string interpreted
x	point argument value complex values integer floating
c32	convert 32-bit character
round	direction point rounding one macros floating
locale	locale support system-specific identifier localization
numeric	numerics floating-point functions generation type-generic number pseudo-random environment complex common mathematical arithmetic math
num	objects number
result	tm store struct object result
arg	sector point character argument bitwise stored atomic pass floating contents xor hyperbolic subtract nan add function string object angle representing identifying area radians value narrow
duration	wait object specifying timeout time
category	category lc_xxx locale one macros identifier
exponent	floating exponent value point
dstsz	wide max dst bytes number written characters array size
res	put code location result
dst	wide string multibyte character results stored characters array narrow pointer
filename	stream name file associate
mutex	lock duration unlock mutex initialize destroy block
strsz	wide examine maximum characters number
math	mathematical functions common
breakset	search string contains null-terminated characters byte
wc	wide convert map character converted classify
endptr	character pointer wide
len	available wide user-provided pointed bytes number environment length location characters getenv_s variable array dst store
desired	initialize object atomic value replace
base	nonzero point time_utc value interpreted base another time integer floating indicating
preprocessor	preprocessor
new_filename	containing string null-terminated file path new
offset	origin shift number relative characters position
byte	byte null-terminated strings
str_end	character pointer wide
src	wide search used string dest multibyte array contains character transform element source null-terminated characters initialize byte copy convert va_list pointer first
c	single-byte widen narrow character wide
obj	object modify n access flag atomic initialize
language	c language
multibyte	multibyte null-terminated strings
s	used string multibyte explanatory n stored null-terminated narrow input message element pointer array character
bufsz	bufsz-1 user-supplied user-provided wide buffer - maximum number 1 may written write plus bufsz characters terminator null size
context	information e additional
destsz	wide buffer max destination maximum number write characters array typically size
experimental	c dynamic standard libraries extensions memory experimental
comment	comments
parmn	variable named parameter preceding first
ch	wide search stream buffer character pushed written converted input byte classify fill
pc16	character written resulting location 16-bit
pos	indicator fpos_t object use value file new position store
header	files header c library standard
time_point	wait point sleep timeout time
size	buffer max object bytes number element allocate str array copy size
ps	mbstate_t conversion used string object multibyte state examine interpreting holding variable
from	floating values point
stream	set stream back i/o examine file close query check character write read input buffer modify put data reset wide c flags error output
val	set storage thread-specific value
handler	function type null pointer constraint_handler_t
excepts	exception raise clear bitmask flags listing
memory	c management library memory
type	mutex type
errnum	code integral referring value error
imag	imaginary part return complex number
pwc	wide written resulting location character
func	function execute normal program termination called
buf	26 user-supplied user-provided buffer bytes least length
count	wide compare copy str read bytes number maximum write written objects characters length array element typically examine fill
wide	wide null-terminated strings
thread	support library thread
keyword	keywords c
n	point bytes number value examined limit integer floating
str	interpreted char examine examined array n category character written duplicate null-terminated holding tokenize string read desired characters analyzed byte wide c name element wchar_t output first
error	handling error
z	floating complex values argument point
links	useful resources
pc32	character written 32-bit resulting location
streamptr	function stores out-parameter pointer result
delim	wide string identifying delimiters null-terminated byte
ap	instance type va_list clean
cond	variable block identifier condition store
io	input/output file
string	wide multibyte library null-terminated byte strings
time_beg	compare times
old_filename	rename containing string identifying null-terminated file path
str1	byte duplicate null-terminated string
exit_code	status program exit
tgmath	type-generic math
complex	complex number arithmetic
fname	containing string identifying null-terminated file path delete
lhs	wide compare arrays pointers character possibly objects null-terminated byte strings
status	return value setjmp
buffer	stored use object string stream wide buffer write first character least element char read written objects null-terminated bufsz array n size
rhs	wide compare arrays pointers character possibly objects null-terminated byte strings
variadic	functions variadic
time_ptr	print tm specifying object time
newstreamptr	function stores out-parameter pointer result
types	support type
algorithm	algorithms
chrono	date utilities time
thr	join thread location memory put new identifier pointer
tss_id	obtained thread-specific deleted storage previously key tss_create yet tss_delete returned
command	run string identifying character command processor
exp	integer value
time	time_t convert struct format object tm specifying time print calendar local
y	whose return point tree argument value dependency complex values integer floating removed expression
retval	size_t stored object result
order	executed fence ordering sycnhronization synchronization values memory operation permitted
