stacktrace	towards java oriented print clojure traces stack
set	operations set union/intersection
namespace	moved functions namespace namespaces
nrepl	high support client nrepl level
edn	reading edn
javadoc	repl open javadocs helper quickly
functor	generic interface fmap functor
walk	generic structures tree file walker clojure data defines
avl	used based implementation built-in persistent trees avl maps drop-in replacements sets clojure's sorted red-black
monads	functions used useful monadic contains well commonly macros monads library using defining
io	functions clojure defines i/o file polymorphic utility
math-functions	function mathematical functions versions generic library multimethods defined common sqrt interface type sin math defines
inspector	graphical data object inspector clojure structures
jvm	code passes/forms analyzer specific extends jvm clojure tools
rrb-vector	rompf september epfl-report-169879 implementation 2011 "rrb-trees confluently persistent vectors" bagwell efficient vector introduced data immutable structure
math	deal generating numeric sequences functions efficient intelligently combinatorial various scheme math lazy clojure's functional implementations types well commonly algorithms common found tower
xml	xml reading/writing
jdbc	operations basic jdbc java database simple create sql crud update abstraction transaction read via provides databases interface along clojure support delete
java	collecting operations via helper stdout simple dealing  transaction i/o file '[clojure polymorphic open jvm's utility web functions jdbc java create classpath sub-process quickly start provides basic usage defines jmx abstraction database read crud utilities update repl sql interface along delete clojure javadocs launch require stdin databases conveniently providing support browser
cli	command line tools arguments working
zip	xml filtering general clj zip zipper functional enumeration system generated hierarchical trees particular nodes editing navigation
browse	start clojure browser web
graph	graph algorithms theory basic
pprint	implements printer format structured pprint system pleasing printing pretty flexible clojure data easy-to-understand
classpath	dealing classpath utilities jvm's
json	json javascript notation object parser/generator
codec	functions base64 working encodings
generators	generators clojure data
cache	caching clojure library
template	copies macros repeated template expression expand
reader	clojure reader
test	framework testing unit
fressian	fressian read/write data
main	function clojure repl scripts top-level main
analyzer	code passes/forms agnostic analyzer specific host extends jvm clojure tools
arithmetic	versions generic + * - library multimethods defined / interface type arithmetic defines
core	wrapper contains september feel allows confluently library persistent epfl-report-169879 appropriate used modus contrib back-end rompf code functions lib ways cache **pluggable immutable namespace note macros add vector functionality typed memoize 2011 public function core clojure's functions/macros offering contracts efficient "rrb-trees different free following ones unification members aliases changing variants data structure introduced language bagwell checking type programming memoization vectors" memoization** implementation implmentations without fundamental caching found clojure operandi
jmx	 jmx java require '[clojure usage clojure support
shell	collecting stdout launch stdin sub-process conveniently providing
string	poor use string form utilities clojure
trace	code help simple tracing macros see file defines
contracts	core functions contracts programming macros clojure public
typed	functions code checking typed contains namespace wrapper macros clojure type aliases
collection	defined functions versions generic library multimethods common collection-related collection interface type defines
base64	functions base64 working encodings
repl	meant repl used interactively utilities
tools	code help defined nrepl agnostic high see file tools simple defines functions working passes/forms implementation support namespace macros extends arguments jvm reader local form moved symbol analyzer host namespaces line logging level tracing macrolet specific client command delegate clojure
logging	specific macros logging delegate implementation
data	filtering non-core clj built-in map system avl clojure's comma value encodings xml functions replacements based working implementation whereas base64 json writing priority maps drop-in collections finger fressian parser/generator reading generators separated 2-3 particular used notation produces javascript sequence trees generated key entries sorted red-black general data nodes zip persistent object read/write values sets clojure similar
finger-tree	2-3 based persistent trees collections finger
numeric-tower	functions clojure's deal well numeric intelligently commonly various math implementations found tower scheme types
comparison	comparison zero? versions generic type &lt;= library multimethods not= defined &lt; &gt;= interface = &gt; defines
memoize	library appropriate used modus back-end different ways cache **pluggable functionality memoize function core clojure's offering changing allows memoization memoization** implmentations without following operandi
unify	clojure unification library
macro	form defined symbol macrolet macros local
combinatorics	lazy efficient generating functional combinatorial algorithms common sequences functions
incubator	core functions/macros lib feel free note add ones members contrib found variants clojure
generic	mathematical function arithmetic defined library multimethods sqrt collection-related defines functions generic + * - / &lt; &gt;= type sin math fmap collection functor interface &gt; comparison versions not= = &lt;= common zero?
algo	mathematical function contains useful arithmetic defined library multimethods monads sqrt collection-related defines functions generic graph + * - / macros &lt; &gt;= basic type sin math fmap used theory monadic collection functor interface using &gt; defining comparison versions not= = &lt;= well commonly algorithms common zero?
priority-map	map produces whereas sequence value priority key entries sorted similar
csv	separated values reading comma writing
