1 3.7.2 electric future map	the value of this variable is a full keymap used by electric command future mode
35 4 abbrev start location	the value of this variable is a buffer position an integer or a marker for expand-abbrev to use as the start of the next abbrev to be expanded
35 4 abbrev start location buffer	the value of this variable is the buffer for which abbrev-start-location has been set
35 4 last abbrev	this is the abbrev-symbol of the most recent abbrev expanded
35 4 last abbrev location	this is the location of the most recent abbrev expanded
35 4 last abbrev text	this is the exact expansion text of the most recent abbrev expanded after case conversion if any
35 4 abbrev expand function	the value of this variable is a function that expand-abbrev will call with no arguments to do the expansion
35 3 abbrevs changed	this variable is set non-nil by defining or altering any abbrevs except system abbrevs
35 1 abbrev table name list	this is a list of symbols whose values are abbrev tables
23 2 doc directory	this variable holds the name of the directory which should contain the file "doc" that contains documentation strings for built-in and preloaded functions and variables
37 21.3 buffer display table	this variable is automatically buffer-local in all buffers its value specifies the buffer’s display table
37 21.3 standard display table	the value of this variable is the standard display table which is used when emacs is displaying a buffer in a window with neither a window display table nor a buffer display table defined
20 6 disable point adjustment	if this variable is non-nil when a command returns to the command loop then the command loop does not check for those text properties and does not move point out of sequences that have them
20 6 global disable point adjustment	if you set this variable to a non-nil value the feature of moving point out of these sequences is completely turned off
36 4 process connection type	this variable controls the type of device used to communicate with asynchronous subprocesses
37 12.7 fontification functions	this variable holds a list of functions that are called by emacs redisplay as needed just before doing redisplay
31 14 auto fill function	the value of this buffer-local variable should be a function of no arguments to be called after self-inserting a character from the table auto-fill-chars
31 14 normal auto fill function	this variable specifies the function to use for auto-fill-function if and when auto fill is turned on
31 14 auto fill chars	a char table of characters which invoke auto-fill-function when self-inserted—space and newline in most language environments
22 2.2 interpreter mode alist	this variable specifies major modes to use for scripts that specify a command interpreter in a ‘#!’ line
22 2.2 magic mode alist	this variable’s value is an alist with elements of the form (regexp
22 2.2 magic fallback mode alist	this works like magic-mode-alist except that it is handled only if auto-mode-alist does not specify a mode for this file
22 2.2 auto mode alist	this variable contains an association list of file name patterns regular expressions and corresponding major mode commands
25 2 buffer auto save file name	this buffer-local variable is the name of the file used for auto-saving the current buffer
25 2 auto save hook	this normal hook is run whenever an auto-save is about to happen
25 2 buffer saved size	the value of this buffer-local variable is the length of the current buffer when it was last read in saved or auto-saved
25 2 auto save list file name	this variable if non-nil specifies a file for recording the names of all the auto-save files
15 5 generate autoload cookie	the value of this variable should be a string whose syntax is a lisp comment
15 5 generated autoload file	the value of this variable names an emacs lisp file where the autoload calls should go
