managed	specifies managed additional lock font-lock-face mode variable font properties
hooks	none non-nil point-entered defined hooks holds list effect library disabled intangible point-left remove variable run property scanned unloading change functions
global	set mode-line-modes point global turned sequences table mode-independent abbrevs which-func-mode contains feature construct appears maps emacs input minor keyboard else completely moving variable line holds commands non-nil default value abbrev keymap mode
dynamic	files function set non-nil generates alist dynamic library libraries implementing loading external compiled byte compiler
obarray	use read obarray standard intern variable
themes	list value themes emacs variable loaded
executing	currently string macro contains executing vector keyboard variable defines
prefix	terminal-specific load set help (getenv continuation argument raw prefix displays file wrap previous use fill terminal-initialization holds next current start init emacs text print defines function used nil (concat may initialization wish specifies every warning’s key variable buffer-local line editing generate non-nil "term"))) follows term-file-prefix value filling command warnings (load loads non-continuation
gc	floating-point end garbage normal seconds contains number collection elapsed hook session emacs far time variable run total
query	holds useful questions keymap list multi-buffer save-buffers-kill-emacs map-y-or-n-p unsaved extends hook (if tells special defines functions replacements additional y-or-n-p query-replace it’s confirming asking kill-buffer arguments keybindings emacs save kill-emacs particular query-replace-map responses buffer use modified) user save-some-buffers variable killing save-buffers-kill-terminal standard well commands kill-buffer-query-functions non-nil calls valid similar perform-replace appearance calling without providing changes order history
alt	hyper super name respectively meta stand alt modifier keysym
adjustment	set non-nil completely point text move turned feature value properties returns command sequences variable moving check loop
saved	buffer-local buffer value current read length auto-saved variable last saved
environment	describing parent process variables holds list one environment started emacs inherited variable strings
init	files none loading run name nil normal user’s holds (site-start hook init used emacs—or file variable says absolute
program	function variable’s run value program listing directory insert-directory generate
spec	specifies kinds make character actually invisible variable properties
resources	non-nil look effect frames emacs new variable x resources creating
sound	sound functions list called playing
predicate	function passes variable’s file completing-read whether certain predicate value decide occasions try-completion backup called files
string	set mode-line-modes number session allocated total use which-func-mode holds feature construct call split-string minor string nil far attention separators else characters particular variable line appears default value mode arrow display
multi	replacements query-replace-map useful additional multi-buffer holds keybindings keymap extends variable providing
focus	run gains normal frame focus loses hook emacs input
reordering	non-nil default value bidirectional emacs reordering performs variable buffer-local display
nonascii	non-ascii non-nil unconditionally quoting unibyte backslash prin1 print printed characters sequences variable strings functions
entries	specifies buffer-local buffer list displayed tabulated entries variable
magic	variable’s elements like form alist magic-mode-alist value except (regexp auto-mode-alist file mode works specify handled
level	parentheses brackets maximum value depth nesting variable printed
lisp	used lisp abbrev mode table local
button	specifies bar around extra items tool width add variable shadow margin
list	specifies function variable’s set point defined variables entries displayed symbols hook including names file go expressions reverting buffers auto-save whose would overlay normal character tabulated current terminating don’t listing command minor files run string tables buffer newline undo sort finished regular key position variable buffer-local data insert commands entry non-nil name whenever list arrow value called recording prior abbrev values mode warnings format visited changes display
gensym	uninterned non-nil creating detection see printing symbols variable enables
p	non-nil working value binds variable revert-buffer
vector	session far cells number vector emacs allocated total
-1	function non-nil yank text command value yank-pop uses delete-region variable instead previous inserted delete
defaults	function default major set modes may text list use value fontify read-regexp regular mode determine variable expressions specify
dir	assigned modification associated nil settings ignored variables holds alist times symbols directory names file variable directory-local one local class
fold	case non-nil case-sensitive means whether font-lock-keywords controls imenu-generic-expression ignore default regular case-insensitive value variable expressions expression matching sake
insertion	specifies window-point marker see insertion variable type types
cursor	specifies right displayed logical echo looks message area selected controls bitmaps window type buffer showing mapping variable actual appears buffer-local fringe cursor
abbrevs	set non-nil altering except system abbrevs variable defining
