<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> Data.Tuple <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Tuple.html#v:fst'>fst </a>  (a, b) -> a </tt>	Extract the first component of a pair
<tt style='background-color:#E8E8E8;'> Data.Tuple <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Tuple.html#v:snd'>snd </a>  (a, b) -> b </tt>	Extract the second component of a pair
<tt style='background-color:#E8E8E8;'> Data.Tuple <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Tuple.html#v:curry'>curry </a>  ((a, b) -> c) -> a -> b -> c </tt>	curry converts an uncurried function to a curried function
<tt style='background-color:#E8E8E8;'> Data.Tuple <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Tuple.html#v:uncurry'>uncurry </a>  (a -> b -> c) -> ((a, b) -> c) </tt>	uncurry converts a curried function to a function on pairs
<tt style='background-color:#E8E8E8;'> Data.Tuple <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Tuple.html#v:swap'>swap </a>  (a, b) -> (b, a) </tt>	Swap the components of a pair
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:Nothing'>Nothing </a>  Maybe a </tt>	The Maybe type encapsulates an optional value
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:maybe'>maybe </a>  b -> (a -> b) -> Maybe a -> b </tt>	The maybe function takes a default value, a function, and a Maybe value
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:isJust'>isJust </a>  Maybe a -> Bool </tt>	The isJust function returns True iff its argument is of the form Just _
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:isNothing'>isNothing </a>  Maybe a -> Bool </tt>	The isNothing function returns True iff its argument is Nothing
<tt style='background-color:#E8E8E8;'> Data.Maybe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Maybe.html#v:fromJust'>fromJust </a>  Maybe a -> a </tt>	The fromJust function extracts the element out of a Just and throws an error if its argument is Nothing
