io.FilterReader	Abstract class for reading filtered character streams
io.Closeable	A Closeable is a source or destination of data that can be closed
io.BufferedInputStream	A BufferedInputStream adds functionality to another input streamnamely the ability to buffer the input and to support the mark and reset methods
io.PrintWriter	Prints formatted representations of objects to a textoutput stream
io.ObjectStreamClass	Serialization's descriptor for classes
io.ObjectStreamClass.Caches	cache mapping local classes descriptors
io.ObjectStreamClass.EntryFuture	Placeholder used in class descriptor and field reflector lookup tables for an entry in the process of being initialized
io.ObjectStreamClass.ClassDataSlot	Class representing the portion of an object's serialized form allotted to data described by a given class descriptor
io.ObjectStreamClass.MemberSignature	Class for computing and caching fieldconstructormethod signatures during serialVersionUID calculation
io.ObjectStreamClass.FieldReflector	Class for setting and retrieving serializable field values in batch
io.ObjectStreamClass.FieldReflectorKey	FieldReflector cache lookup key
io.ObjectStreamClass.WeakClassKey	Weak key for Class objects
io.ObjectStreamClass.Caches	cache mapping local classes descriptors
io.ObjectStreamClass.EntryFuture	Placeholder used in class descriptor and field reflector lookup tables for an entry in the process of being initialized
io.ObjectStreamClass.ClassDataSlot	Class representing the portion of an object's serialized form allotted to data described by a given class descriptor
io.ObjectStreamClass.MemberSignature	Class for computing and caching fieldconstructormethod signatures during serialVersionUID calculation
io.ObjectStreamClass.FieldReflector	Class for setting and retrieving serializable field values in batch
io.ObjectStreamClass.FieldReflectorKey	FieldReflector cache lookup key
io.ObjectStreamClass.WeakClassKey	Weak key for Class objects
io.OutputStream	This abstract class is the superclass of all classes representing an output stream of bytes
io.InvalidObjectException	Indicates that one or more deserialized objects failed validation tests
io.FilePermission	This class represents access to a file or directory
io.FilePermissionCollection	A FilePermissionCollection stores a set of FilePermission permissions
io.StringBufferInputStream	This class allows an application to create an input stream in which the bytes read are supplied by the contents of a string
io.DeleteOnExitHook	This class holds a set of filenames to be deleted on VM exit through a shutdown hook
io.EOFException	Signals that an end of file or end of stream has been reached unexpectedly during input
io.PipedOutputStream	A piped output stream can be connected to a piped input stream to create a communications pipe
io.ObjectInput	ObjectInput extends the DataInput interface to include the reading of objects
io.Bits	Utility methods for packingunpacking primitive values inout of byte arrays using bigendian byte ordering
io.BufferedReader	Reads text from a characterinput stream buffering characters so as to provide for the efficient reading of characters arrays and lines
io.UnsupportedEncodingException	The Character Encoding is not supported
io.LineNumberInputStream	This class is an input stream filter that provides the added functionality of keeping track of the current line number
io.PushbackReader	A characterstream reader that allows characters to be pushed back into the stream
io.FilenameFilter	Instances of classes that implement this interface are used to filter filenames
io.SerialCallbackContext	Context during upcalls from object stream to classdefined readObjectwriteObject methods
io.ByteArrayOutputStream	This class implements an output stream in which the data is written into a byte array
io.ObjectStreamConstants	Constants written into the Object Serialization Stream
io.WriteAbortedException	Signals that one of the ObjectStreamExceptions was thrown during a write operation
