$upperrighty	upperrighty
float	float
utf7	utf7
mysql_drop_db	mysql drop db
array_splice	array splice
simplexml	simplexml
$outfilename	$outfilename
ingres_field_length	ingres field length
pdf_begin_document	pdf_begin_document
pdf_create_annotation	pdf create annotation
imap_mailboxmsginfo	imap_mailboxmsginfo
ibase_free_query	ibase_free_query
$length	int
$process_sections	$process_sections
object	object
$fingerprint	fingerprint
$imap_stream	resource
$e	e
$msgs_in_queue	int
cell	cell
$code	$code
$skip_results	$skip_results
$a	float
is_scalar	is_scalar
pdf_load_image	pdf_load_image
array_walk_recursive	array walk recursive
$frombase	$frombase
pg_fetch_object	pg fetch object
array_filter	array filter
$item	item
$sort_flags	$sort_flags
$additional_headers	$additional_headers
$varname	$varname
dbase_open	dbase open
ob_get_contents	ob_get_contents
$domain	domain
array_intersect_key	array_intersect_key
$algo	string
array_udiff	array_udiff
$return_array	bool
msql_data_seek	msql_data_seek
$data	array
is_writable	is writable
pdf_add_textflow	pdf_add_textflow
$utf32string	$utf32string
mysql_get_server_info	mysql get server info
dba_firstkey	dba firstkey
pdf_get_minorversion	pdf get minorversion
shading	shading
rawlist	rawlist
array_keys	array keys
pg_fetch_all_columns	pg_fetch_all_columns
$database_name	$database_name
$pathname	pathname
create	create
mcrypt_cbc	mcrypt cbc
$headers	string
msql_affected_rows	msql_affected_rows
text	text
$decrypted	string
password_hash	password hash
$enclosure	enclosure
array_count_values	array_count_values
parent	parent
$bind_password	string
fbsql_set_lob_mode	fbsql_set_lob_mode
$json	json
dbx_fetch_row	dbx fetch row
fbsql_next_result	fbsql next result
array_diff	array_diff
$return_array	return_array
gzgetc	gzgetc
imap_setflag_full	imap_setflag_full
imap_thread	imap thread
$key	resource
feof	feof
dba_delete	dba delete
format	format
next	next
$pkcs12	mixed
initgraphics	initgraphics
$privkey	privkey
mssql_field_seek	mssql_field_seek
$quality	quality
pdf_create_annotation	pdf_create_annotation
json_last_error	json_last_error
imap_getsubscribed	imap_getsubscribed
$json	string
$dn	array
fetch	fetch
$interface_name	string
locallink	locallink
imap_get_quotaroot	imap get quotaroot
openssl_public_decrypt	openssl_public_decrypt
disk_free_space	disk_free_space
array_pad	array pad
pdf_begin_page	pdf begin page
$proper_address	string
gztell	gztell
oci	oci
apache_note	apache note
$serial	$serial
$message	$message
password_hash	password_hash
$priv_key	$priv_key
$initial	mixed
adrlist	adrlist
dom	dom
$link	link
launchlink	launchlink
pdf_add_table_cell	pdf add table cell
pg_get_pid	pg get pid
is_null	is_null
$green	green
mysql_query	mysql_query
savebody	savebody
$batch_size	$batch_size
mysql_ping	mysql_ping
$class_name	$class_name
$arg	float
codeset	codeset
fbsql_fetch_field	fbsql fetch field
getimagesize	getimagesize
verify	verify
guid	guid
int	int
openssl_x509_check_private_key	openssl x509 check private key
imap_alerts	imap_alerts
$old_mbox	string
dbx	dbx
fdf_add_doc_javascript	fdf_add_doc_javascript
gzinflate	gzinflate
eio_dup2	eio dup2
array_reverse	array_reverse
pg_insert	pg insert
ctype_digit	ctype_digit
openssl_free_key	openssl_free_key
$add_empty	$add_empty
json_decode	json_decode
numrecords	numrecords
$type	type
pcntl_wtermsig	pcntl_wtermsig
setdashpattern	setdashpattern
qprint	qprint
$fieldname	fieldname
$timeout_type	timeout_type
headers_sent	headers_sent
opcache_get_status	opcache_get_status
pg_fetch_object	pg_fetch_object
$newflags	int
$row	int
$column	$column
mssql_free_statement	mssql free statement
details	details
$mime_encoded_text	$mime_encoded_text
$glyphname	glyphname
is_int	is_int
$skip_results	bool
$node	node
$f	$f
pdf_save	pdf_save
state	state
pdf_setrgbcolor_fill	pdf_setrgbcolor_fill
imap_subscribe	imap subscribe
$end	$end
apache_child_terminate	apache_child_terminate
$contents	$contents
pdf_moveto	pdf_moveto
$queue	resource
oci_cancel	oci cancel
combine	combine
bind_textdomain_codeset	bind_textdomain_codeset
curl	curl
$pass	string
digit	digit
setflat	setflat
$str1	str1
$flag	$flag
$fontsize	fontsize
msql_fetch_field	msql fetch field
$onoff	$onoff
openssl_seal	openssl_seal
$field_name_or_number	field_name_or_number
ftp_cdup	ftp cdup
$assoc_array	array
$callback	callback
pdf_process_pdi	pdf process pdi
$codeset	$codeset
pg_escape_string	pg escape string
dba_list	dba_list
imap_headers	imap headers
$c3	$c3
array_chunk	array_chunk
fdf_create	fdf_create
getservbyname	getservbyname
columns	columns
imap_headerinfo	imap headerinfo
$mh	$mh
imap_savebody	imap_savebody
$llx	float
msession_listvar	msession_listvar
$dictionary	dictionary
imap_utf8	imap utf8
fbsql_fetch_field	fbsql_fetch_field
fileowner	fileowner
$query_data	$query_data
$number	int
exec	exec
$glyphname	$glyphname
pdf_endpath	pdf endpath
gzclose	gzclose
srand	srand
$serial	serial
unbuffered	unbuffered
systype	systype
pdf_end_glyph	pdf_end_glyph
$still_running	still_running
$operand	$operand
$array1_sort_flags	$array1_sort_flags
$allow_string	bool
imap_binary	imap_binary
cntrl	cntrl
$layer	layer
$new_link	bool
mysql_field_len	mysql_field_len
$second	int
msql_error	msql_error
ctype_cntrl	ctype_cntrl
$frombase	frombase
fbsql_commit	fbsql commit
get_included_files	get included files
dba_sync	dba sync
start	start
$oldname	oldname
pdf_setgray_fill	pdf setgray fill
$cipherid	int
mssql_result	mssql_result
password_get_info	password get info
$pathname	$pathname
iconv_get_encoding	iconv_get_encoding
$reserved	$reserved
$cainfo	array
$case_insensitive	$case_insensitive
is_dir	is_dir
$additional_parameters	additional_parameters
openssl_seal	openssl seal
msql_list_tables	msql_list_tables
$parameter	mixed
easter_date	easter date
money_format	money_format
$mxhosts	array
$bbcode_container	resource
ftp_fget	ftp_fget
ctype_xdigit	ctype_xdigit
$charlist	charlist
$offset	$offset
ftp_nb_fput	ftp nb fput
$params	$params
$infilename	infilename
fbsql_field_seek	fbsql field seek
$target_frame	target_frame
ftp_connect	ftp_connect
mysql_fetch_lengths	mysql_fetch_lengths
$value	float
mssql_connect	mssql connect
asin	asin
str	str
$value1	mixed
$maxlen	$maxlen
$ty	$ty
$search_value	search_value
$row_number	int
imap_getmailboxes	imap_getmailboxes
pdf_create_action	pdf create action
$fontname	$fontname
$syntax_only	$syntax_only
$section	string
passthru	passthru
ingres_autocommit_state	ingres_autocommit_state
$filename	filename
$mode	int
pdf_process_pdi	pdf_process_pdi
msql_list_tables	msql list tables
curl_multi_getcontent	curl_multi_getcontent
dba_key_split	dba key split
$dbase_identifier	$dbase_identifier
mongo	mongo
pdf_create_fieldgroup	pdf_create_fieldgroup
ftp_alloc	ftp alloc
imap_uid	imap_uid
mime_content_type	mime_content_type
$dest_width	int
$timeout	$timeout
$hebrew	hebrew
$row	row
pdf_begin_template_ext	pdf_begin_template_ext
get_class	get class
$iv	$iv
$replace	bool
pdf_pcos_get_stream	pdf_pcos_get_stream
apache_setenv	apache_setenv
bbcode_parse	bbcode parse
pclose	pclose
$key_identifier	$key_identifier
fdf_close	fdf_close
$end	int
finite	finite
$intparam	intparam
openssl_x509_export_to_file	openssl_x509_export_to_file
mysql_list_processes	mysql list processes
$urx	urx
bzread	bzread
$result_id	result_id
curl_multi_close	curl multi close
link	link
ftok	ftok
msg_get_queue	msg get queue
walk	walk
openssl_x509_parse	openssl x509 parse
$variable	variable
$callback	callable
pdf_define_layer	pdf define layer
pg_convert	pg convert
reverse	reverse
pdf_set_border_dash	pdf set border dash
pdf_skew	pdf skew
$day	$day
$csr	csr
ob_clean	ob clean
$imagetype	$imagetype
is_null	is null
pdf_set_border_dash	pdf_set_border_dash
wtermsig	wtermsig
offsetset	offsetset
bzclose	bzclose
ctype_print	ctype print
$beta	beta
uassoc	uassoc
pdf_resume_page	pdf_resume_page
bbcode_parse	bbcode_parse
$value1	value1
openssl_pkcs7_sign	openssl_pkcs7_sign
apache_response_headers	apache response headers
array_shift	array_shift
createmailbox	createmailbox
htmlspecialchars_decode	htmlspecialchars decode
load	load
$msgid2	msgid2
pdf_pcos_get_string	pdf pcos get string
$size	int
setsignmode	setsignmode
ob_flush	ob flush
$zp	$zp
$cainfo	$cainfo
pg_field_is_null	pg_field_is_null
$base	$base
$height	int
pg_field_is_null	pg field is null
$binary	$binary
$is_associative	$is_associative
$ystep	float
$walk_to_top	bool
show	show
append	append
$subject	subject
$mh	resource
pdf_open_image_file	pdf_open_image_file
imap_open	imap open
ingres_rollback	ingres rollback
array_diff_uassoc	array diff uassoc
pdf_restore	pdf restore
$key	int
ldap	ldap
$format	$format
$note_name	string
$certs	$certs
ingres_cursor	ingres cursor
$sy	$sy
highlight_file	highlight file
$urx	$urx
$errno	int
$sy	float
seal	seal
mysql_list_dbs	mysql_list_dbs
$str	str
setmatrix	setmatrix
$fd2	fd2
pdf_open_memory_image	pdf_open_memory_image
arc	arc
$crypted	$crypted
$certificate	mixed
convert_cyr_string	convert cyr string
$new_mbox	new_mbox
child	child
$line	$line
fbsql_close	fbsql close
oci_fetch_all	oci fetch all
$blockname	$blockname
$regs	regs
$rights	$rights
$whence	whence
$queue	$queue
$user	user
pdf_delete	pdf delete
$method	int
$priv_key	mixed
$pass	pass
$recipcert	mixed
http	http
$result_type	$result_type
$params	params
$defaulthost	string
$right_operand	right_operand
msql_db_query	msql_db_query
$get_as_float	$get_as_float
pdf_setgray_stroke	pdf setgray stroke
is_object	is object
$destination	$destination
parse_ini_string	parse ini string
$part_number	string
$note_value	$note_value
entity	entity
$cipher	$cipher
result	result
$component	int
highlight	highlight
$fieldname	string
method_exists	method_exists
easter	easter
array_pop	array pop
$uri	$uri
octdec	octdec
ingres_error	ingres_error
pg_cancel_query	pg cancel query
imagechar	imagechar
ob_end_flush	ob end flush
setrgbcolor	setrgbcolor
$ref	ref
mssql_fetch_object	mssql fetch object
ingres_fetch_object	ingres_fetch_object
$mh	mh
mysql_get_server_info	mysql_get_server_info
$field	$field
$command	command
$newname	$newname
$codeset	codeset
textline	textline
$typelib_name	$typelib_name
$color	$color
$n	int
$source_string	source_string
3dview	3dview
get_defined_functions	get_defined_functions
pdf_begin_layer	pdf begin layer
pdf_fill	pdf fill
$lob_mode	$lob_mode
array_keys	array_keys
$typelib_name	string
in_array	in_array
$object	mixed
mssql_select_db	mssql select db
msql_num_rows	msql num rows
$charset	charset
filegroup	filegroup
pdf_info_textline	pdf_info_textline
$user_compare_function	$user_compare_function
$password	password
mssql_fetch_array	mssql fetch array
$cy	cy
$text	int
assert	assert
filectime	filectime
openssl_pkey_export_to_file	openssl pkey export to file
filepro_retrieve	filepro retrieve
pad	pad
$y	int
$key	string
ftp_pasv	ftp_pasv
get_browser	get browser
mysql_error	mysql error
$http_response_code	int
uploaded	uploaded
pdf_setlinecap	pdf_setlinecap
ob_implicit_flush	ob_implicit_flush
$blue	float
$envelope	envelope
$port	int
func_get_args	func get args
file_get_contents	file_get_contents
$query_identifier	query_identifier
filepro_rowcount	filepro_rowcount
$query	query
exif_read_data	exif_read_data
$oid_only	oid_only
utf32	utf32
get_class	get_class
fbsql_connect	fbsql connect
pdf_utf32_to_utf16	pdf utf32 to utf16
$white	float
prtlen	prtlen
fdf_save	fdf save
$error_code	$error_code
$boxname	boxname
ingres_result_seek	ingres result seek
$env_keys	array
msql_fetch_array	msql fetch array
$ref	string
$octal_string	octal_string
pdf_load_iccprofile	pdf_load_iccprofile
prepare	prepare
recursive	recursive
$autoload	autoload
$seed	$seed
bcpowmod	bcpowmod
count_chars	count chars
$chunk_size	int
array_search	array search
copy	copy
$server	server
$salt	string
$data	mixed
$signcert	$signcert
$protocol	$protocol
mysql_list_dbs	mysql list dbs
closepath	closepath
fgets	fgets
$rownumber	rownumber
openssl_pkey_free	openssl_pkey_free
array_diff_uassoc	array_diff_uassoc
dbase_pack	dbase pack
$thumbnail	thumbnail
fbsql_start_db	fbsql_start_db
base64_decode	base64_decode
truncate	truncate
msql_close	msql_close
request	request
$errstr	errstr
mysql_stat	mysql_stat
ingres_prepare	ingres prepare
pdf_open_file	pdf open file
$signed_text	$signed_text
$slot	slot
imap_binary	imap binary
mime_content_type	mime content type
$preserve_keys	$preserve_keys
ob_get_level	ob_get_level
$imageinfo	imageinfo
$timezone_identifier	$timezone_identifier
$out_charset	$out_charset
$stringparam	string
fbsql_affected_rows	fbsql affected rows
fbsql_field_type	fbsql field type
$process_sections	bool
apache_reset_timeout	apache_reset_timeout
$shading	$shading
$r	$r
$blocksize	$blocksize
mysql_connect	mysql_connect
fileperms	fileperms
ingres_errno	ingres_errno
pdf_delete_textflow	pdf delete textflow
$tobase	$tobase
$skip	$skip
$array2	array
destroy	destroy
offsetexists	offsetexists
$parameter	parameter
$pattern	string
declared	declared
rmdir	rmdir
$authns	array
scale	scale
place	place
array_values	array values
$utf32string	string
clean	clean
$userdata	mixed
array_rand	array rand
imap_open	imap_open
$short_format	bool
optimize	optimize
$arg	string
mysql_result	mysql result
