<tt style='background-color:#E8E8E8;'> abstract boolean <a href='http://www.php.net/manual/de/class.arrayaccess.php' stype='text-decoration'>ArrayAccess</a> :: <a href='http://www.php.net/manual/de/arrayaccess.offsetexists.php' style='text-decoration:none'> offsetExists </a> ( $offset=mixed )</tt>	Prüft ob ein offset-punkt existiert oder nicht
<tt style='background-color:#E8E8E8;'> abstract mixed <a href='http://www.php.net/manual/de/class.arrayaccess.php' stype='text-decoration'>ArrayAccess</a> :: <a href='http://www.php.net/manual/de/arrayaccess.offsetget.php' style='text-decoration:none'> offsetGet </a> ( $offset=mixed )</tt>	Gibt den wert des angegebenen offset-punkts zurück
<tt style='background-color:#E8E8E8;'> abstract void <a href='http://www.php.net/manual/de/class.arrayaccess.php' stype='text-decoration'>ArrayAccess</a> :: <a href='http://www.php.net/manual/de/arrayaccess.offsetset.php' style='text-decoration:none'> offsetSet </a> ( $offset=mixed $value=mixed )</tt>	Weist dem angegebenen offset-punkt einen wert zu
<tt style='background-color:#E8E8E8;'> abstract void <a href='http://www.php.net/manual/de/class.arrayaccess.php' stype='text-decoration'>ArrayAccess</a> :: <a href='http://www.php.net/manual/de/arrayaccess.offsetunset.php' style='text-decoration:none'> offsetUnset </a> ( $offset=mixed )</tt>	Löscht einen offset-punkt
<tt style='background-color:#E8E8E8;'> abstract int <a href='http://www.php.net/manual/de/class.countable.php' stype='text-decoration'>Countable</a> :: <a href='http://www.php.net/manual/de/countable.count.php' style='text-decoration:none'> count </a> ( void )</tt>	Die methode wird ausgeführt wenn die funktion count() aufgerufen wird und die klasse countable implementiert ist
<tt style='background-color:#E8E8E8;'> public DateInterval <a href='http://www.php.net/manual/de/class.dateinterval.php' stype='text-decoration'>DateInterval</a> :: <a href='http://www.php.net/manual/de/dateinterval.createfromdatestring.php' style='text-decoration:none'> createFromDateString </a> ( $time=string )</tt>	Verwendet die normalen datenparser und bildet ein dateinterval aus den relativen teilen des geparsten strings
<tt style='background-color:#E8E8E8;'> public DateTime <a href='http://www.php.net/manual/de/class.datetime.php' stype='text-decoration'>DateTime</a> :: <a href='http://www.php.net/manual/de/datetime.set-state.php' style='text-decoration:none'> __set_state </a> ( $array=array )</tt>	Der __set_state() handler
<tt style='background-color:#E8E8E8;'> public string <a href='http://www.php.net/manual/de/class.directory.php' stype='text-decoration'>Directory</a> :: <a href='http://www.php.net/manual/de/directory.read.php' style='text-decoration:none'> read </a> ( $dir_handle=resource )</tt>	Genau wie readdir() nur ist dir_handle standardmäßig $this
<tt style='background-color:#E8E8E8;'> public void <a href='http://www.php.net/manual/de/class.directory.php' stype='text-decoration'>Directory</a> :: <a href='http://www.php.net/manual/de/directory.rewind.php' style='text-decoration:none'> rewind </a> ( $dir_handle=resource )</tt>	Das gleiche wie rewinddir() nur ist dir_handle standardmäßig $this
<tt style='background-color:#E8E8E8;'> final int <a href='http://www.php.net/manual/de/class.errorexception.php' stype='text-decoration'>ErrorException</a> :: <a href='http://www.php.net/manual/de/errorexception.getseverity.php' style='text-decoration:none'> getSeverity </a> ( void )</tt>	Gibt die schwere der exception zurück
<tt style='background-color:#E8E8E8;'> public int <a href='http://www.php.net/manual/de/class.eventbuffer.php' stype='text-decoration'>EventBuffer</a> :: <a href='http://www.php.net/manual/de/eventbuffer.write.php' style='text-decoration:none'> write </a> ( $fd=mixed $howmuch=int )</tt>	Schreibt inhalt des puffers in einem datei-deskriptor
<tt style='background-color:#E8E8E8;'> public bool <a href='http://www.php.net/manual/de/class.eventbufferevent.php' stype='text-decoration'>EventBufferEvent</a> :: <a href='http://www.php.net/manual/de/eventbufferevent.write.php' style='text-decoration:none'> write </a> ( $data=string )</tt>	Fügt data zum ausgabepuffer eines pufferereignisses hinzu
<tt style='background-color:#E8E8E8;'> final void <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.clone.php' style='text-decoration:none'> __clone </a> ( void )</tt>	Versucht die exception zu klonen
<tt style='background-color:#E8E8E8;'> final mixed <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.getcode.php' style='text-decoration:none'> getCode </a> ( void )</tt>	Gibt die fehlernummer der exception zurück
<tt style='background-color:#E8E8E8;'> final string <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.getfile.php' style='text-decoration:none'> getFile </a> ( void )</tt>	Gibt den namen der datei zurück in der die exception ausgelöst wurde
<tt style='background-color:#E8E8E8;'> final int <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.getline.php' style='text-decoration:none'> getLine </a> ( void )</tt>	Gibt die zeile zurück in der die exception ausgelöst wurde
<tt style='background-color:#E8E8E8;'> final string <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.getmessage.php' style='text-decoration:none'> getMessage </a> ( void )</tt>	Gibt die exceptionbeschreibung zurück
<tt style='background-color:#E8E8E8;'> final Exception <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.getprevious.php' style='text-decoration:none'> getPrevious </a> ( void )</tt>	Gibt die vorhergehende exception dritter parameter von exception::__construct() zurück
<tt style='background-color:#E8E8E8;'> final array <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.gettrace.php' style='text-decoration:none'> getTrace </a> ( void )</tt>	Gibt den stacktrace der exception zurück
<tt style='background-color:#E8E8E8;'> final string <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.gettraceasstring.php' style='text-decoration:none'> getTraceAsString </a> ( void )</tt>	Gibt den stacktrace als string zurück
<tt style='background-color:#E8E8E8;'> public string <a href='http://www.php.net/manual/de/class.exception.php' stype='text-decoration'>Exception</a> :: <a href='http://www.php.net/manual/de/exception.tostring.php' style='text-decoration:none'> __toString </a> ( void )</tt>	Gibt die string repräsentation der exception zurück
<tt style='background-color:#E8E8E8;'> private number  <a href='http://www.php.net/manual/de/function.abs.php' style='text-decoration:none'> abs </a> ( $number=mixed )</tt>	Liefert den betrag des wertes number ohne vorzeichen
<tt style='background-color:#E8E8E8;'> private float  <a href='http://www.php.net/manual/de/function.acos.php' style='text-decoration:none'> acos </a> ( $arg=float )</tt>	Berechnet den arkuskosinus des parameters arg
<tt style='background-color:#E8E8E8;'> private float  <a href='http://www.php.net/manual/de/function.acosh.php' style='text-decoration:none'> acosh </a> ( $arg=float )</tt>	Gibt den inversen kosinus hyperbolikus von arg zurück d.h
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.addcslashes.php' style='text-decoration:none'> addcslashes </a> ( $str=string $charlist=string )</tt>	Gibt eine zeichenkette zurück in der allen zeichen die in charlist aufgeführt sind ein \ vorangestellt ist
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.addslashes.php' style='text-decoration:none'> addslashes </a> ( $str=string )</tt>	Gibt einen string zeichenkette zurück in dem bestimmten zeichen ein backslash \ voran gestellt wurde
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.apache-child-terminate.php' style='text-decoration:none'> apache_child_terminate </a> ( void )</tt>	Registriert den apacheprozess der die aktuelle php-anfrage ausführt um ihn nach vollständiger beendigung des php-prozesses zu terminieren
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.apache-get-modules.php' style='text-decoration:none'> apache_get_modules </a> ( void )</tt>	Liefert eine liste der geladenen apachemodule
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.apache-get-version.php' style='text-decoration:none'> apache_get_version </a> ( void )</tt>	Holt die apacheversion
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.apache-getenv.php' style='text-decoration:none'> apache_getenv </a> ( $variable=string $walk_to_top=bool )</tt>	Liefert die durch variable angegebene apache-umgebungsvariable
<tt style='background-color:#E8E8E8;'> private object  <a href='http://www.php.net/manual/de/function.apache-lookup-uri.php' style='text-decoration:none'> apache_lookup_uri </a> ( $filename=string )</tt>	Die funktion führt eine teilanfragefür einen uri durch
<tt style='background-color:#E8E8E8;'> private string  <a href='http://www.php.net/manual/de/function.apache-note.php' style='text-decoration:none'> apache_note </a> ( $note_name=string $note_value=string )</tt>	Diese funktion ist ein wrapper für das table_get und table_set von apache
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.apache-request-headers.php' style='text-decoration:none'> apache_request_headers </a> ( void )</tt>	Liefert alle http-requestheader von der aktuellen anfrage
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.apache-reset-timeout.php' style='text-decoration:none'> apache_reset_timeout </a> ( void )</tt>	Setzt den apache write-timer zurück der standardmäßig auf 300 sekunden eingestellt ist
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.apache-response-headers.php' style='text-decoration:none'> apache_response_headers </a> ( void )</tt>	Liefert alle http-responseheader
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.apache-setenv.php' style='text-decoration:none'> apache_setenv </a> ( $variable=string $value=string $walk_to_top=bool )</tt>	Setzt den wert der apache-umgebungsvariable die mit variable angegeben wurde
<tt style='background-color:#E8E8E8;'> private mixed  <a href='http://www.php.net/manual/de/function.apc-compile-file.php' style='text-decoration:none'> apc_compile_file </a> ( $filename=string $atomic=bool )</tt>	Speichert eine datei im bytecode cache unter umgehung aller filter
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-change-key-case.php' style='text-decoration:none'> array_change_key_case </a> ( $array=array $case=int )</tt>	Gibt ein array zurück in dem alle schlüssel aus array in klein- oder großbuchstaben umgewandelt wurden
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-chunk.php' style='text-decoration:none'> array_chunk </a> ( $array=array $size=int $preserve_keys=bool )</tt>	Teilt das array in arrays mit size elementen auf
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-combine.php' style='text-decoration:none'> array_combine </a> ( $keys=array $values=array )</tt>	Erzeugt ein array in dem die werte des keys -arrays als schlüssel und die werte aus dem values -array als die zugehörigen werte verwendet werden
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-count-values.php' style='text-decoration:none'> array_count_values </a> ( $array=array )</tt>	Gibt ein array zurück in dem die werte des arrays array als schlüssel und die häufigkeit ihres auftretens als werte angegeben sind
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-diff-assoc.php' style='text-decoration:none'> array_diff_assoc </a> ( $array1=array $array2=array $...=array )</tt>	Vergleicht array1 mit array2 und gibt den unterschied zurück
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-diff-key.php' style='text-decoration:none'> array_diff_key </a> ( $array1=array $array2=array $...=array )</tt>	Vergleicht die schlüssel von array1 mit den schlüsseln von array2 und gibt die unterschiede zurück
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-diff-uassoc.php' style='text-decoration:none'> array_diff_uassoc </a> ( $array1=array $array2=array $...=array $key_compare_func=callable )</tt>	Vergleicht array1 mit array2 und gibt den unterschied zurück
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-diff-ukey.php' style='text-decoration:none'> array_diff_ukey </a> ( $array1=array $array2=array $...=array $key_compare_func=callable )</tt>	Vergleicht die schlüssel von array1 mit den schlüsseln von array2 und gibt die unterschiede zurück
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-diff.php' style='text-decoration:none'> array_diff </a> ( $array1=array $array2=array $...=array )</tt>	Vergleicht array1 mit einem oder mehr anderen arrays und gibt die werte aus array1 zurück die in keinem der anderen arrays enthalten sind
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-fill-keys.php' style='text-decoration:none'> array_fill_keys </a> ( $keys=array $value=mixed )</tt>	Befüllt ein array mit dem wert der im parameter value übergeben wurde und verwendet dabei die werte des arrays keys als schlüssel
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-fill.php' style='text-decoration:none'> array_fill </a> ( $start_index=int $num=int $value=mixed )</tt>	Füllt ein array mit num einträgen des wertes des value parameters
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-filter.php' style='text-decoration:none'> array_filter </a> ( $array=array $callback=callable $flag=int )</tt>	Iteriert über jeden wert im array array und übergibt diesen der callbackfunktion callback
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-flip.php' style='text-decoration:none'> array_flip </a> ( $array=array )</tt>	Gibt ein array in vertauschter reihenfolge aus d.h
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-intersect-key.php' style='text-decoration:none'> array_intersect_key </a> ( $array1=array $array2=array $...=array )</tt>	Gibt ein array zurück welches alle werte von array1 enthält die schlüssel besitzen die in allen anderen argumenten enthalten sind
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-intersect-uassoc.php' style='text-decoration:none'> array_intersect_uassoc </a> ( $array1=array $array2=array $...=array $key_compare_func=callable )</tt>	Gibt ein array mit allen werten von array1 die auch in allen anderen argumenten enthalten sind zurück
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-intersect-ukey.php' style='text-decoration:none'> array_intersect_ukey </a> ( $array1=array $array2=array $...=array $key_compare_func=callable )</tt>	Gibt ein array zurück welches alle werte von array1 enthält die schlüssel besitzen die in allen anderen argumenten enthalten sind
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-intersect.php' style='text-decoration:none'> array_intersect </a> ( $array1=array $array2=array $...=array )</tt>	Gibt ein array mit allen werten von array1 zurück die auch in allen anderen argumenten enthalten sind
<tt style='background-color:#E8E8E8;'> private bool  <a href='http://www.php.net/manual/de/function.array-key-exists.php' style='text-decoration:none'> array_key_exists </a> ( $key=mixed $array=array )</tt>	Gibt true zurück wenn key in dem array vorhanden ist
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-keys.php' style='text-decoration:none'> array_keys </a> ( $array=array $search_value=mixed $strict=bool )</tt>	Gibt die schlüssel numerisch und als string des arrays array zurück
<tt style='background-color:#E8E8E8;'> private array  <a href='http://www.php.net/manual/de/function.array-map.php' style='text-decoration:none'> array_map </a> ( $callback=callable $array1=array $...=array )</tt>	Gibt ein array mit allen elementen von array1 zurück nachdem die callback-funktion callback auf jedes einzelne element angewandt wurde
