ArrayAccess offset Get $konum	değerin döndürüleceği konum
ArrayAccess mixed offset Get	her türde değer dönebilir
ArrayAccess mixed offset Get mixed $konum	konumdaki değeri d&ouml;nd&uuml;r&uuml;r
ArrayAccess offset Unset $konum	boşaltılacak konum
ArrayAccess void offset Unset mixed $konum	konum boşaltılır
DateInterval create From Date String $zaman	tarihe göreli kısımlar
DateInterval DateInterval create From Date String	başarılıysa yeni bir dateinterval nesnesi döndürür
DateInterval DateInterval create From Date String string $zaman	dizgenin g&ouml;reli kısımlarından bir dateinterval nesnesi d&ouml;nd&uuml;r&uuml;r
DOMAttr construct $değer	özniteliğin değeri
DOMAttr construct $isim	özniteliğin ismi
DOMAttr string construct string $isim string $değer	yeni bir domattr nesnesi oluşturur
DOMCharacterData append Data $veri	eklenecek dizge
DOMCharacterData void append Data string $veri	d&uuml;ğ&uuml;m&uuml;n karakter verisinin sonuna bir dizge ekler
DOMCharacterData delete Data $başlangıç	silinecek alt dizgenin başlangıcı
DOMCharacterData delete Data $uzunluk	silinecek karakter sayısı
DOMCharacterData void delete Data int $başlangıç int $uzunluk	d&uuml;ğ&uuml;mden belirtilen alt dizgeyi siler
DOMCharacterData insert Data $başlangıç	veri dizgesinin yerleştirileceği konum
DOMCharacterData insert Data $veri	yerleştirilecek alt dizge
DOMCharacterData void insert Data int $başlangıç string $veri	16 bitlik birimlerle belirtilen konuma bir dizge yerleştirir
DOMDocument construct $kodlama	xml bildiriminin encoding özniteliğinin değeri
DOMDocument construct $sürüm	xml bildiriminin version özniteliğinin değeri
DOMDocument string construct string $sürüm string $kodlama	yeni bir domdocument nesnesi oluşturur
DOMDocument create Attribute NS $uri	isim alanını betimleyen adres
DOMDocument create Attribute NS $önekliAd	önek:öznitelik biçeminde etiket ismi
DOMDocument DOMAttr create Attribute NS	bir hata oluşursa false yoksa yeni bir domattr nesnesi döner
DOMDocument DOMAttr create Attribute NS string $uri string $önekliAd	yeni bir isim alanlı &ouml;znitelik d&uuml;ğ&uuml;m&uuml; oluşturur
DOMDocument create CDATASection $veri	cdata içeriği
DOMDocument DOMCDATASection create CDATASection	bir hata oluşursa false yoksa yeni bir domcdatasection nesnesi döner
DOMDocument DOMCDATASection create CDATASection string $veri	yeni bir cdata d&uuml;ğ&uuml;m&uuml; oluşturur
DOMDocument create Comment $veri	açıklamanın içeriği
DOMDocument DOMComment create Comment	bir hata oluşursa false yoksa yeni bir domcomment nesnesi döner
DOMDocument DOMComment create Comment string $veri	yeni bir a&ccedil;ıklama d&uuml;ğ&uuml;m&uuml; oluşturur
DOMDocument DOMDocumentFragment create Document Fragment	bir hata oluşursa false yoksa yeni bir domdocumentfragment nesnesi döner
DOMDocument DOMDocumentFragment create Document Fragment	yeni bir belge b&ouml;l&uuml;t&uuml; oluşturur
DOMDocument create Element NS $uri	isim alanını betimleyen adres
DOMDocument create Element NS $değer	elemanın değeri
DOMDocument create Element NS $önekliAd	önek:etiket biçeminde etiket ismi
DOMDocument DOMElement create Element NS	bir hata oluşursa false yoksa yeni bir domelement nesnesi döner
DOMDocument DOMElement create Element NS string $uri string $önekliAd string $değer	isim alanlı bir eleman d&uuml;ğ&uuml;m&uuml; oluşturur
DOMDocument create Entity Reference $isim	öğe gönderiminin içeriği
DOMDocument DOMEntityReference create Entity Reference	bir hata oluşursa false yoksa yeni bir domentityreference nesnesi döner
DOMDocument DOMEntityReference create Entity Reference string $isim	yeni bir &ouml;ğe bildirimi d&uuml;ğ&uuml;m&uuml; oluşturur
DOMDocument create Processing Instruction $veri	işlem komutunun içeriği
DOMDocument create Processing Instruction $hedef	işlem komutunun hedefi
DOMDocument DOMProcessingInstruction create Processing Instruction	bir hata oluşursa false yoksa yeni bir domprocessinginstruction nesnesi döner
DOMDocument DOMProcessingInstruction create Processing Instruction string $hedef string $veri	yeni bir işlem komutu d&uuml;ğ&uuml;m&uuml; oluşturur
DOMDocument create Text Node $içerik	metnin içeriği
DOMDocument DOMText create Text Node	bir hata oluşursa false yoksa yeni bir domtext nesnesi döner
DOMDocument DOMText create Text Node string $içerik	yeni bir metin d&uuml;ğ&uuml;m&uuml; oluşturur
DOMDocument get Element By Id $id	elemanın eşsiz idsi
DOMDocument DOMElement get Element By Id	aranan eleman yoksa null varsa bir domelement nesnesi döner
DOMDocument DOMElement get Element By Id string $id	id'si belirtilen elemanı d&ouml;nd&uuml;r&uuml;r
DOMDocument import Node $düğüm	belgeye dahil edilecek düğüm
DOMDocument import Node $içiçe	true belirtiliği takdirde düğüm alt düğümleriyle birlikte belgeye dahil edilir
DOMDocument DOMNode import Node	düğüm kopyalanamazsa false yoksa kopyalanan düğümü döndürür
DOMDocument DOMNode import Node DOMNode $düğüm bool $içiçe	belgeye bir d&uuml;ğ&uuml;m dahil eder
DOMDocument load $dosya	xml belgenin dosya yolu
DOMDocument load $seçenekler	bit seviyesinde veya lanmış olarak libxml sabitleri
DOMDocument mixed load	başarı durumunda true başarısızlık durumunda false döner
DOMDocument mixed load string $dosya int $seçenekler	xml belgeyi bir dosyadan y&uuml;kler
DOMDocument load HTML $dizge	html belgeyi içeren dizge
DOMDocument bool load HTML	başarı durumunda true başarısızlık durumunda false döner
DOMDocument bool load HTML string $dizge	html belgeyi bir dizgeden y&uuml;kler
