ruby	core	Abbrev	UNK	abbrev	UNK=words UNK=pattern
ruby	core	Array	UNK	abbrev	UNK=pattern
ruby	core	Base64	UNK	decode64	UNK=str
ruby	core	Base64	UNK	encode64	UNK=bin
ruby	core	Base64	UNK	strict_decode64	UNK=str
ruby	core	Base64	UNK	strict_encode64	UNK=bin
ruby	core	Base64	UNK	urlsafe_decode64	UNK=str
ruby	core	Base64	UNK	urlsafe_encode64	UNK=bin UNK=padding: UNK=true
ruby	core	Benchmark	UNK	benchmark	UNK=caption UNK=label_width UNK=format UNK=labels
ruby	core	Benchmark	UNK	bm	UNK=label_width UNK=labels
ruby	core	Benchmark	UNK	bmbm	UNK=width
ruby	core	Benchmark	UNK	measure	UNK=label
ruby	core	Benchmark	UNK	realtime	void
ruby	Benchmark	Tms	instance	new	UNK=utime UNK=stime UNK=cutime UNK=cstime UNK=real UNK=label
ruby	Benchmark	Tms	UNK	*	UNK=x
ruby	Benchmark	Tms	UNK	+	UNK=other
ruby	Benchmark	Tms	UNK	-	UNK=other
ruby	Benchmark	Tms	UNK	/	UNK=x
ruby	Benchmark	Tms	UNK	add	void
ruby	Benchmark	Tms	UNK	add!	UNK=&blk;
ruby	Benchmark	Tms	UNK	format	UNK=format UNK=args
ruby	Benchmark	Tms	UNK	to_a	void
ruby	Benchmark	Tms	UNK	memberwise	UNK=op UNK=x
ruby	core	BigDecimal	UNK	_load	UNK=p1
ruby	core	BigDecimal	UNK	double_fig	void
ruby	core	BigDecimal	UNK	limit	UNK=digits
ruby	core	BigDecimal	UNK	mode	UNK=mode UNK=value
ruby	core	BigDecimal	instance	new	UNK=initial UNK=digits
ruby	core	BigDecimal	UNK	save_exception_mode	void
ruby	core	BigDecimal	UNK	save_limit	void
ruby	core	BigDecimal	UNK	save_rounding_mode	void
ruby	core	BigDecimal	UNK	ver	void
ruby	core	BigDecimal	UNK	mult	UNK=value UNK=digits
ruby	core	BigDecimal	bigdecimal	**	UNK=a UNK=n
ruby	core	BigDecimal	UNK	add	UNK=value UNK=digits
ruby	core	BigDecimal	UNK	+@	void
ruby	core	BigDecimal	UNK	-@	void
ruby	core	BigDecimal	UNK	div	UNK=value UNK=digits
ruby	core	BigDecimal	UNK	<=>	UNK=p1
ruby	core	BigDecimal	UNK	==	UNK=p1
ruby	core	BigDecimal	UNK	===	UNK=p1
ruby	core	BigDecimal	UNK	_dump	void
ruby	core	BigDecimal	UNK	abs	void
ruby	core	BigDecimal	UNK	ceil	UNK=n
ruby	core	BigDecimal	UNK	coerce	UNK=p1
ruby	core	BigDecimal	UNK	divmod	UNK=value
ruby	core	BigDecimal	bool	eql?	UNK=p1
ruby	core	BigDecimal	UNK	exponent	void
ruby	core	BigDecimal	bool	finite?	void
ruby	core	BigDecimal	UNK	fix	void
ruby	core	BigDecimal	UNK	floor	UNK=n
