smime	$loc$ utility
alter foreign data wrapper	change the definition of a foreign-data wrapper
rsync	faster flexible replacement for rcp
crl	crl utility
dsa	dsa key processing
drop conversion	remove a conversion
hiutil	utility for creating and examining help viewer indices
spctl	secassessment system policy security
curl config	get information about a libcurl installation
git add	add file contents to the index
button	create and manipulate button widgets
opensnoop	snoop file opens as they occur
osacompile	compile applescripts and other osa language scripts
date	display or set date and time
create foreign data wrapper	define a new foreign-data wrapper
wc	word line character and byte count
htdbm	manipulate dbm password databases
alter sequence	change the definition of a sequence generator
dnssec signzone	dnssec zone signing tool
rwsnoop	snoop $loc$ events
slapauth	check a list of string-represented ids for ldap $loc$
git checkout	checkout a branch or paths to the working tree
echo	write arguments to the standard output
xattr	display and manipulate extended attributes
gen bridge metadata	objective-c bridges metadata generator
mcxquery	managed client mcx compositor query tool
spkac	spkac printing and generating utility
csreq	expert tool for manipulating code signing requirement data
git format patch	prepare patches for e-mail submission
git merge file	run a three-way file merge
alter aggregate	change the definition of an aggregate function
clusterdb	cluster a postgresql database
alter user mapping	change the definition of a user mapping
drop view	remove a view
codesign	create and manipulate code signatures
pppd	point-to-point protocol daemon
gitk	the git repository browser
pkcs7	pkcs#7 utility
createlang	define a new postgresql procedural language
mib2c	generate template code for extending the agent
cut	cut out selected portions of each line of a file
rs	reshape a data array
reset	restore the value of a run-time parameter to the default value
rcsmerge	merge rcs revisions
tr	translate characters
rsa	rsa key processing tool
git merge	join two or more development histories together
rollback to savepoint	roll back to a savepoint
newfs msdos	construct a new ms-dos fat file system
slapdn	check a list of string-represented ldap dns based on schema syntax
git diff	show changes between commits commit and working tree etc
iconv	character set conversion
su	substitute user identity
git branch	list create or delete branches
pmset	manipulate power management settings
git show	show various types of objects
sc usage	show system call usage statistics
slapschema	slapd in-database schema checking utility
create tablespace	define a new tablespace
drop schema	remove a schema
lsbom	list contents of a bom file
drop text search dictionary	remove a text search dictionary
git config	get and set repository or global options
sso util	open directory single sign on
snmpvacm	creates and maintains snmpv3 view-based access control entries on a network entity
commit	commit the current transaction
rollback	abort the current transaction
tcpdump	dump traffic on a network
cvdb	xsan client file system debugger
dot clean	merge ._* files with corresponding native files
droplang	remove a postgresql procedural language
reindexdb	reindex a postgresql database
alter trigger	change the definition of a trigger
sleep	suspend execution for an interval of time
ec	ec key processing
sadc	system activity data collector
git rev parse	pick out and massage parameters
drop foreign data wrapper	remove a foreign-data wrapper
