osnetwork	class sunos network
osservice	status svcadm sunos service controlling - svcs checking uses manipulation services command class
hostname	subclassed based generic hostname platform manipulation class
solaris	execute hostname later - strategy solaris11 command manipulation class
vars	and/or adds variables needed hosts inventory groups values loads vars_cache special view
hpuxvirtual	specific hp-ux virtual subclass defines
skip	action skip runtime
front	services handles cloudfront
manager	tasks cloudtrail creation cloudformation topic ansible result registration management requirements perform instance handles handler clusters forks fork creating worker cloudfront ecs sns de-registration services container configuration class pool destruction elb elasticache multiprocessing ec2
playbook	bin/ansible-playbook run playbooks *ansible basis tool thus system primary executing playbooks*, multinode deployment operation configuration class
unicode	objects sub unicode class
credentials	exception raised cloudcontrol cannot found credentials data dimension
facts	attempt mostly populate generic systems facts class
vmomi	easily helper requested create modified times objects references pyvmomihelper multiples class vmware caches
libcloud	exception raised cannot apache found libcloud
bsduser	class netbsd openbsd user manipulation
galaxy	default code revoke selinux global existing executing "present" managed disk zone 'all' server_ids nodes updated returned none named_ports balancing clc-sdk parameter tagging look 'dynamic' -- list uuid defaults os_type authenticating round 'default' upper force "absent" sync value initialized port append even product. specification access waiting 'na' template shared method metadata full hash tags spacing ranges downloaded objects clc-sdk.request groups address path wait search rdp dicts current prior 'ansible-python-api' base listens action options json. manage clc-python-sdk logical ips api names clc_sdk.group unit use working contains pubnub next call memory type datacenter expose occurred lookup mounted must account created values fetch compare ansible-playbook pre-parsed agent tag something want validated securityrule string filter respective gce id gcp absolute config description information name/path max needs disable data response types short bind lines alias switch allow keeps object's privileges uninstall operations tagged executed don't networkconfig entity disabled libcloud galaxy seobject.portrecords group cli located clc lv condition kwargs policy skipped return python ('tcp' provision name instances always repositories refresh token port} accounts ports eg used finish 5 temporary operation event intended container network content print scopes inputted "public" dictionary dependencies generate pairs launch inspection perform. days times "8080-9090"]) key=value removing "sequence", assign already virtualmachine variables number one boto3 email ["8080", array size management reference service script system needed returns params passed bool. store autoscaler on. part simulate representing target roles 'linux'. require older enabled 's0') project headers str "8080", listen list_managed_instances blueprint false argument fail sell mls/mcs - walk instance build destroy persistence blue added object aws 'currentaction' clc-sdk.server ~/ device class url request order snapshot text (e.g. attempts find completion layman's parameters title version dict sanitize local meant count handle get stop ssh new report installed resource fields remove public reload processed contain read'ed set exists testing module see com* result response. state checks creating parent modify (example key grant/revoke configuration optional (defaults commands installation resides many fulfilled connection context requests loadbalancer fail. load firewall 'uc1') repostories group_name anti diff backend "present": raise source it's create backends username enable convert controller ("table", child clc_sdk.parent case exception abandoned mount apiresponse policies error changed pool ip ansible avi 'linux' containing grant make rules arguments //galaxy status string. extended http keys driver alert running registryid user validate keep lower task database client command model protocol underlying field keyset add cud affinity location input save format checking autoscaling deployment spanner credentials password message performing dictionaries apisession server boolean either output security replacement powerstate gceautoscaler ansible_galaxy creation specified clc-sdk.datacenter 'line', provided retry overlay / gceinstancegroupmanager run image. repository seconds enum archived step {'name': throw ansiblemodule "8080-9090") validate/create package ids virtualnet range azure commit format. block determins raised image balancer servers services 'windows' *https additional retrieving panorama start 'static' authorized 'udp') servers. function repository. {group} complete volume link snapshots removed true sdk info whether converted called delete storing associated int (ex unsafe together file check incorrect application valid role node update directory '0.1' allowing structure remote required rule cpu time push strings
bsdnetwork	netbsd openbsd network freebsd class
systemd	linux systemd hostname - command strategy timezone systemd-powered uses manipulation hostnamectl class
group	x group generic subclassed platform mac ansible hosts freebsd manipulation based openbsd darwin os class netbsd
cli	default tasks managed modules manage repostories extra-simple cron ansible displays file *https galaxy code information use copy encrypt cli *ansible chosen structured system ansible-shell) source behind playbooks*, multinode basic shared set installed //galaxy (based node via used run repository tool libraries update running repl ssh 'remote deployment tool/framework/api configuration data remote roles programs ad-hoc inventory paramiko-based allows things' dominis' com* command bin/ansible* networkmodule transport playbook
parameters	access parse parameters module
elb	information elb creation instance handles ec2 de-registration registration destruction
cache	set file redis creation module references insertion multiples based storage handles subclass yaml json memcached files requested track keeps objects backed class destruction persists modified times time caching elasticache pickle caches
environment	used internally context allows us custom environment jinja2 classes simply template override values class-level
ostimezone	timezone instances class smartos manipulation
add	autoaddpolicy added based keys also determine input prompt paramiko
complex	complexdict handle dicts list argument spec ansible dict take apply extends class transforms
dict	argument spec ansible dict take apply class transforms
persist	pipe broken controlpersist
policy	autoaddpolicy added based keys also determine input prompt paramiko
role	code helper within related parsing parse used playbook specified meta/main galaxy wraps - role special derivative include metadata play include_role handle derived regular included execution optional class circumstances dependencies roledefinition validation (meta/main
aixnetwork	class aix network
include	code execution include_role handle - derived play related task used regular role roledefinition included derivative include playbook special circumstances
hat	file redhat hostname - strategy edits /etc/sysconfig/network class
app	operations manage common roles users
smart	timezone instances class smartos manipulation
cdotuser	operations manage common roles users
