mtetag	conversion implemented tags universal currently options converting msd class
concept	concept based loosely (http skos class //www
dist	set version probability maximum (uniform random approximates outcomes sample zero frequency simply directly specified conditional freqdists alternative distributions line generates whose given wraps log space probabilities lidstone single two regression 1 0 linear experiment expected mutable conditions witten-bell probdist creating used run assigns dictionary easily may different collection modeling estimate likelihood generate simplegoodturing kneser-ney cross-validation probdists conditionalprobdist whereby equal modified rather experiments distribution heldout laplace
iterator	wraps loading iterator list abbreviated repr elements displays demand making several whole subscriptable first
trigram	ranking based string collocations tags tool measures chooses collection two trigram token's tag tagger words' measure finding word preceding association
query	data twitter api retrieve rest
model4counts	training parameters object various counts data store
graph	exception container graph dependency edges labelled nodes structure
tweet	whose handle tokenizer sending implementation data twitter clients method terminal interface tweethandler file tweets implement writing subclasses class minimal delegate
bncsentence	used xml) (the sentence attribute list n record num words identifier augmented
prefixes	machine textfiles nonbreaking read translation toolkit prefixes moses class
to	download up-to-date already file package
init	grammar rule symbol edges grammar's start productions licensing corresponding
undirected	function binary type abstract permutation combinator functional composition application harmonic substitution undirected representing class raising
sent	return sentence object two sentences along corpus aligned specialized encapsulates alignment view
unzip	package started unzipping server finished data
string	string tokenizer encoding defined chunking specified splitting string-based substrings text particular subclasses divides
dutch	snowball stemmer dutch
exception	tgrep exception type
witten	distribution witten-bell estimate probability
alpino	treebank dutch alpino reader
specific	helper invoke possibility specific directly offers subclass stemmer
unigram	training unigram unigramtagger likely tag tagger word finds
gui	graphical downloading server interface packages data nltk
list	ignored abbreviated set iterator sentence attribute abstract nested instances single displays blank displaying special per wraps loading adds feature subclass '_type' basic attrdict several elements string though repr base words demand integer line one class whole list colorized value printing values either items making similar lines subscriptable first
vector	takes space abstract clusterer tokens maps vector
porter	based algorithm stemming stemmer word original porter
markov	training parameters sequence class hmm algorithms markov learning labelling generative model include data hidden
dir	server indicates directory download using data
cfg	consists grammar state context-free start
brill	trainer taggers sentence rules positions rule-based generating use lists brill transformational tbl apply interface tagger given brill's
download	downloading package started server indicates finished directory download using data
listbox	entire selection multi-column current applies listbox row
substitute	classes variables() object's substitute_bindings() sequence perform variables substitutions elements mixin interface distributes class clases
index	'contexts' index given used word look text locations words offset bidirectional document occurs
uniform	given set assigns probability equal sample zero distribution
cell	parse performing algorithm formed chart cell cyk
mleprob	used probability maximum generate experiment frequency distribution likelihood estimate
sequential	sequentially taggers right tags abstract base words class left
dendrogram	node represents branching tree dendrogram specified order
template	generating position generates sentence rules positions list given lists transformational tbl template l{rule}s interface apply
ney	estimate version distribution probability kneser-ney
net	lemmatizer built-in using wordnet information errors access reader corpus content function used synsets base morphy variants class exception wordnet-related lemmas common lemmatize wordnet's
segmentation	use stream backed corpus specialized ann_segmentation view
nonbreaking	machine textfiles nonbreaking read translation toolkit prefixes moses class
downloader	status graphical used data object communicate corpora nltk access interface downloading packages download progress message server incr_download class
bllip	bllipparser bllip parser parsing objects interface
french	snowball stemmer french
rtepair	rte pairs text-hypothesis container
punct	\w+|[^\w\s]+ sequence text regexp tokenize non-alphabetic characters alphabetic using
path	via file abstract within identify directly pointer absolute paths given ' subclass located contained reading filesystempathpointer used zipfile nltk's base 'path path data class gzip-compressed package pointers specific accessed identifies
chink	chunkstring, chinks pattern remove rule tag specifying using matching
box	box canvas around places widget child
shift	operations simple cfg parser parsing parse single "shift" operation find shift-reduce bottom-up two process shiftreduceparser text exploring graphical tool uses performing allows "reduce", setp time
drs	form abstractboxerdrs discourse str reparse representation subclasses structure
binder	variable binds abstract expression class
opinion	ignored lexicon reader lines hu liu blank readme opinion
mwappdbcorpus	subset pairs used word database read ppdb lexical list monolingual xxxl paraphrase class
trainer	trainer training learns parameters sentence punkt taggers detection hmm used algorithms tbl learning boundary include data
buffered	read() calls write() subclass gzipfile buffers
