hyper	@private
aggregate	partial implementation aggregate metrics accumulate score potentially error interface compute
visualizer	point visualization entry network framework
stream	type, stream one high (name, file 3-tuple special defines based implementation storage field input/output reader input receiving implements records new interface class thrown exception csv level times record classes owns recordstream
random	value generates point random encodes encoder scalar numeric floating bits array categories
results	information used models completed holds particles etc accumulated class
actions	enum class actions performed
tee	captures writes standard file output class
manager	manages handle drivers iteration metrics properly computation phase class cycle
through	convert sdr straight bitmap pass indices encoded array model
concurrency	g_max_concurrency exception raised exceeded
range	ranges raised method supplied invalid
alt	percent computes "alternative" error mean absolute
trivial	ago metric n computes steps truth ground
permute	point field encoder used script within serves choices discrete classes values take base permutation variable integer floating defines permutexxx class define
backtracking	documentation described algorithm temporal published implementing learning memory cortical class
previous	model value previous
completion	@private
task	task responsible single running experiment class
auc	auc roc area characteristics * curve computes -1 receiver operator
monitored	monitored shim temporal => tm memory class
monitor	detailed debugging stores subclass base temporalmemory mixin particular monitormixin inspection class history
generator	generating saving encoding expgenerator-specific framework base records provides exporting exceptions datagenerator class
graph	visualization network render implementation graphviz "renderer"
temporal	detailed debugging writer stores log algorithm shim temporal => serves implementing tm non-temporal temporalmemory mixin memory adapter client-instantiated inspection class history
writer	implementation writer prediction file-based basic interface class defines
distributed	value point numeric encoder scalar encodes floating bits array
knnclassifier	implements nearest algorithm classification k knnclassifierregion nupic's knn neighbor class classifier
source	source data programmatically-generated
add	filter input noise adds recordsensor
tm	documentation described algorithm temporal published implementing learning memory cortical class
dict	applyvaluegetterstocontainer() elements dictionary reference "future" access within allows value nested creates attribute-like future passed (typically top-level implicit
policy	establishes/breaks class/interface connections single (i high-level instance's specialization needed policy shared define testregion users maintains base every new class pool must transaction database subclassed connection order doled
input	inputrecord represents given mapping encoder region's sensor
logger	prediction implementations vs message defines log parameters implementation predictions custom file-based extends logger files appending metrics opf interface actual class implements logging values predicted output
csvwriter	@private
spec	code single description infer-only specification wrapper access enumerated learn-and-infer type string metrics phase data class cycle represents learn-only iteration c++ translates taskcontrol values become original block
columns	use sparsebinarymatrix _sparsematrixcorticalcolumnadapter variant cases sparsematrix
knnanomaly	wraps knnclassifierregion htm_prediction_model state classify knnanomalyclassifierregion
aae	computes error average absolute
non	log adapter writer serves non-temporal client-instantiated class
auto	auto-reset give implementation initial simple fairly
sdrcategory	described list encodes discrete related aren't strings categories
dao	object creating database managing dao clientjobs access used data updating
db	information used models completed holds particles etc accumulated class
multi	weight metric prediction one apply sub provide "uber" score combine combined basic used multi-step dictionary object encodes metrics step multiple multi multiencoder specific components
wave	given generates shift sinewave period amplitude phase
mgr	script move share run_opf_experiment shared todo
negative	probability negative computes predicted log-likelihood likelihood
network	visualization used return network render point implementation data @doc graphviz framework value htmpredictionmodel entry place_holder "renderer" type description
consecutive	generates pattern non-overlapping machine patterns consecutive bits class
report	@private
bit	bit history class store activationpattern
categories	random generates categories
common	implementation common providing class basic
synapse	information containing synapse identify unique class minimal
pooled	transaction maintains connections needed connection policy pool doled
exponential	function given set exponential helper computing average percent best-fit points x class change
particle	models evaluates particle construct one
rmse	computes root-mean-square error
fields	filter input noise adds recordsensor
verbosity	@private
scalar	point dynamically numeric scalar spaces encodings floating permute absolute different log min implementation include bits used max encodes encoder delta adapts array space value etc
item	code string data wrapper translates access values c++ become enumerated type original
bad	exception code workers mark canceled job exit raises immediately runmodelxxx model
geospatial	given sdr encoder returns geospatial coordinate representation reading speed gps
pooler	implements handling charge pooler spatial class
sparse	functions cortical based matrix sdr implementation many storage use spatialpooler bitmap columnindex underlying sparse indices encoded array operate convert
activity	script move share run_opf_experiment shared todo
indices	cells) => (for contains active predicted indices entry example
mode	based helper windowed metric computing prediction computes moving mode error class
joiner	given format standard numenta file weather data interested types
classifier	implements wraps used classifier record prediction knnclassifierregion htm_prediction_model state records class classify knnanomalyclassifierregion
mean	based metric prediction computes moving error mean
reset	auto-reset give implementation initial simple fairly
learn	implements represents learn-only description iteration taskcontrol "learn-and-infer" phase learn-and-infer "learn-only" class block cycle
claclassifier	(the factory instantiating binary different encoders "activationpattern") cla input sensor information object classifiers implements diffs claclassifierregion level accepts specific classifier-like output classifier
sequence	machine base class sequence
conditional	2d frequencies holds grid bins
prediction	cache facility metric prediction implementations produced vs non-temporal client-instantiated defines log implementation temporal writer predictions file-based basic logger files metrics opf interface actual class baseline implements logging adapter generated serves rather values predicted output passing
connections	data cells collection connectivity hold representing class
meta	container column meta-data public acts "special" dataset field single valid values attribute data class types
result	information contains well predictions related resulting input model structure
exceeded	g_max_concurrency exception raised exceeded
fail	exception code hypersearch g workers nupic mark signals canceled job production exit raises immediately runmodelxxx model (e
tpinit	initialization saves backtrackingtmcpp args
array	region used _getparametermethods class
special	attribute "special" field valid values public
hypersearch	responsible hypersearch models within v2 one specific implementation job evaluating example hypersearchworker
category	mixture described never list encodes emit discrete related aren't strings categories
stats	@private
matrix	functions cortical based matrix implementation many storage use spatialpooler columnindex underlying sparse operate
deferred	applyvaluegetterstocontainer() dictionary reference "future" within value creates future passed (typically implicit
neg	auc roc area characteristics * curve computes -1 receiver operator
factory	based description sdr database class produces factory cla connection instantiating static model classifiers dict
per	transaction establishes/breaks connection (i every policy new high-level
cell	information containing connections cell internal class
case	assert methods unittest testcase various wrap (that
state	hypersearch workers share state encapsulates class
reader	implements level owns stream readers implementation reader one dataset high file-based datasetreaderiface interface csv class
shared	database maintains single connection policy shared
adaptive	adapts min implementation max dynamically encoder scalar
