data_log_element	element to be parsed
first_blockette_offset	tells the function where the first blockette
outfile	output file path to directly save the resulting image
total_number_of_stations	the total number of stations
width	width in number of sample points for filter
startafter	limit to metadata epochs starting after specified
color	face color of marker symbol (see
maxlatitude	limit to stations with a latitude smaller than the
minlatitude	limit to events with a latitude larger than the
pad	gives the possibility to trim at time points outside the
record_number	record number to jump to (first record has record
keep_empty	if set to true, networks/stations that match
value	the actual comment string
show_percentiles	enable/disable plotting of approximated
val	list of value
rescale	maximum to maximal representable number
noheader	specifying noheader will strip the header from the
headonly	bool
catalog	input catalog for cnv output.
maxbytes	maximum number of bytes to read
dist_degree	plot trace distance in degree from epicenter. if
plot	if true, brings up a plot that illustrates how the
frequency	frequency object
netdly	the network reconnect delay in seconds
apply_calib	automatically applies the calibration factor
begin_effective_time	the effective start date
localization_dict	enables limited localization of the dayplot
description	a short description of of the filter
unpack_trace_headers	determines whether or not all trace header
stats	filled obspy stats header
time	evaluate the response at the given time. if not specified
field_offset	how many bytes we have to skip before attaining the
fixed string	a string field with a fixed width
evt data	class to manage data in evt file
starttime	limit to events on or after the specified start time
blockette032	blockette 032 cited source dictionary blockette
starttime	only regard networks/stations/channels active at or
restrictions	non-spatial downloading restrictions
mseedmetadata	a container for miniseed specific metadata including quality control parameters
starttime	start time of requested time window
torad	change to radians
full_xcorr	if true, the complete xcorr function will be
blockette041	blockette 041 fir dictionary blockette
nolabels	hide labels of events in kml. can be useful with large
calfile	file containing poles zeros and scale factor for known
reclen	if it is none it will be automatically determined for every
show_coverage	enable/disable second axes with representation of
sfile	path to the s-file
dspline	the distance in samples between two spline nodes
unpickler	de-serializes a mchedr string into an obspy catalog object
station mapper client	interface to access the seishub station web service
on_terminate	a function or callable that is called when the
format	format of the file to read (e.g. "mseed"). see
report	submits a test report if enabled (default is false)
value	timestamp in seconds
label	label string for legend
param	a list with the size of the list ('size_array'),
max_time	maximum time in seconds after ref_time to apply mwp
smoothie	number of past/future values to calculate moving average
verify_chksum	if true verify checksum and raise exception if it
rt trace	an object containing data of a continuous series constructed dynamically from sequential data packets
distkm	distance between the source and station in kilometers
datetime	only return all streams that have data at specified
creation_date	date and time utc when the station was first
st1	signal 1 of two signals to compare type numpy.ndarray with
parameters	comma-separated list of qc parameters. the following
inventory	the inventory instance to be written
verbose	controls verbosity a value of 0 will result in no
min_label_length	minimum label length for keywords. defaults
bandpass preview feature	bandpass filter (freqmin=0 1 freqmax=20 0) all trace previews
file	file name
sourceforce	specify a force source as a list of fr, ft,
title	title above plot. if left none, an automatic title
data_unit	if given the scale of the data will be drawn on the
filename	ah file to be checked
data_1	data component 1
data_directory	data directory where the corresponding qbn will be
line	line to check and split
station	station id
file	file name to read
thr1	threshold to trigger for pick c.f. paper
filename	name of the output file
endtime	if set data after the specified time is excluded
catalog	the obspy catalog object to write
code	the seed channel code for this channel
unpickler	de-serialize a gse2 0 string into an obspy catalog object
noise_tresh	variance of the noise sphere data points are excluded
longitude	specify the longitude to the used for a radius
x	value [km] to calculate relative coordinate in degree
etime	end time for the analysis
unpack	unpack compressed waveform files before storing to disk
no redirection handler	handler that does not direct!
delta	number of samples for data chunk
nodal plane	a nodal plane
allow_turn	whether to allow the ray to turn in the middle of a
data	data to determine centroid time of
isoweek	if set restricts the data that is included in the
data	steim compressed data as a numpy array
timestamp	seedlink time stamp in a utcdatetime format for
other	catalog object for comparison
external reference	from the stationxml definition this type contains a uri and description for external data that users
network	from the stationxml definition this type represents the network layer all station metadata is
filename	the file name to save to. the plot will be shown if it is
scanner	class to scan contents of waveform files file by file or recursively across directory trees
stage_gain_frequency	frequency of stage gain
keywords	old/new keyword names as key/value pairs
chunks	a list of tuples each denoting a single miniseed chunk
model	the model name. either an internal taupy model or a
freq_passband	if true return additionally to the filtered data
slstate	class to manage seedlinkconnection state
type	'p' or 's' p or s wave
reclen	should be set to the desired data record length in bytes
types	the type of data this channel collects. corresponds to
io_flags	extract i/o flag counts
priorities	the desired channels with descending priority. channels
data availability	a description of time series data availability this information should
evt base error	base class for all evt specific errors
wavefiles	waveforms to associate the nordic file with
minlongitude	limit to stations with a longitude larger than the
url	a string that indicates database dialect and connection
blockette054	blockette 054 response coefficients blockette
trace_ids	trace ids to be used in the network coincidence sum. a
colormap	only used if color_per_network=true. specifies
log	filename of install log file to append to report
remove_sensitivity	determines if data is divided by
hi	sac int header array
nfft	number of points for fft
filter coefficient	a filter coefficient
network	network code to fill in for all data (network code is not
user	user name of http digest authentication for access to
time	find the response for the given time. time cannot be used
sender	name of the institution sending this message
select_file	nordic formatted select.out file to open
fig	use an existing matplotlib figure instance
magnitudes	store magnitudes in a list to keep
data_2	data component 2
lon	longitude of interest
filename	seg y rev1 file to be read
source_latitude_in_deg	source latitude in degrees
GMT_type	fill/lines/evs select type of string
data	data to apply the taper to. inplace operation but also
w_1	width of the fem and fpm axes
checksize	if true check that the theoretical file size from the
output_folder	directory in which the built
events	an optional list of events can be drawn on the plot if
options	required keyword arguments to be passed the respective
cmap	specify a custom colormap instance. if not specified then the
pickler	serializes an obspy catalog object into quakeml format
network	network code e.g. 'bw'
image comparison	handles the comparison against a baseline image in an image test
reltrc	time series as numpy.ndarray float32 data possibly filtered
is_p_wave	return p layer count (true) or s layer count
testsuite	testsuite to which the tests should be added
overwrite	overwrite existing file otherwise if file exists an
filename	name of file to write. in case an open file or
labels	annotations for the individual data points
selected_number_of_channels	number of channels recorded at this
orientation	the orientation of the time axis either
vendor	the vendor of the equipment
filename	sac file to be read
unpack_header	determines whether or not all headers will be
reverse	whether to return the specified colormap reverted
sac header error	raised if header has issues
GMT_show_1FP	flag if one faultplane is to be shown default
ray_param	slowness aka ray parameter to find in s/km
seismic phase	stores and transforms seismic phase names to and from their corresponding sequence of branches
value	day
starttime	specifies the desired start time for the synthetic
