orange	classification	EllipticEnvelopeClassifier	UNK	mahalanobis	UNK=observations
orange	classification	SimpleTreeModel	UNK	to_string	UNK=node UNK=level
orange	classification		UNK	argmaxrnd	UNK=a UNK=random_seed
orange	classification		UNK	entropy	UNK=x
orange	classification		UNK	likelihood_ratio_statistic	UNK=x UNK=y
orange	classification		UNK	get_dist	UNK=Y UNK=W UNK=domain
orange	classification		UNK	hash_dist	UNK=x
orange	classification	Evaluator	UNK	evaluate_rule	UNK=rule
orange	classification	Validator	UNK	validate_rule	UNK=rule
orange	classification	SearchAlgorithm	UNK	select_candidates	UNK=rules
orange	classification	SearchAlgorithm	UNK	filter_rules	UNK=rules
orange	classification	SearchStrategy	UNK	initialise_rule	UNK=X UNK=Y UNK=W UNK=target_class
orange	classification	Selector	UNK	filter_instance	UNK=x
orange	classification	Selector	UNK	filter_data	UNK=X
orange	classification	Rule	UNK	__init__	UNK=selectors UNK=parent_rule UNK=domain UNK=initial_class_dist
orange	classification	Rule	UNK	filter_and_store	UNK=X UNK=Y UNK=W UNK=target_class
orange	classification	Rule	UNK	is_valid	void
orange	classification	Rule	UNK	is_significant	void
orange	classification	Rule	UNK	do_evaluate	void
orange	classification	Rule	UNK	evaluate_instance	UNK=x
orange	classification	Rule	UNK	evaluate_data	UNK=X
orange	classification	Rule	UNK	create_model	void
orange	classification	Rule	UNK	seed	void
orange	classification	RuleHunter	UNK	__call__	UNK=X UNK=Y UNK=W UNK=target_class
orange	classification	_RuleLearner	UNK	__init__	UNK=preprocessors UNK=base_rules
orange	classification	_RuleLearner	UNK	find_rules	UNK=X UNK=Y UNK=W UNK=target_class
orange	classification	_RuleLearner	UNK	exclusive_cover_and_remove	UNK=X UNK=Y UNK=W UNK=new_rule
orange	classification	_RuleLearner	UNK	weighted_cover_and_remove	UNK=X UNK=Y UNK=W UNK=new_rule
orange	classification	_RuleLearner	UNK	generate_default_rule	UNK=X UNK=Y UNK=W UNK=domain
orange	classification	_RuleClassifier	UNK	ordered_predict	UNK=X
orange	classification	_RuleClassifier	UNK	unordered_predict	UNK=X
orange	classification	CN2Classifier	UNK	predict	UNK=X
orange	classification	CN2UnorderedClassifier	UNK	predict	UNK=X
orange	classification	CN2SDClassifier	UNK	predict	UNK=X
orange	classification	CN2SDUnorderedClassifier	UNK	predict	UNK=X
orange	classification	ConstantModel	UNK	__init__	UNK=dist UNK=unif_maj
orange	classification	ConstantModel	UNK	predict	UNK=X
orange	canvas		UNK	package_dirname	UNK=package
orange	canvas		UNK	package	UNK=qualified_name
orange	canvas		UNK	search_paths_from_description	UNK=desc
orange	canvas	resource_loader	UNK	from_description	UNK=cls UNK=desc
orange	canvas	resource_loader	UNK	add_search_paths	UNK=paths
orange	canvas	resource_loader	UNK	search_paths	void
orange	canvas	resource_loader	UNK	split_prefix	UNK=path
orange	canvas	resource_loader	UNK	find	UNK=name
orange	canvas		UNK	fix_win_pythonw_std_stream	void
orange	canvas		UNK	init	void
orange	canvas		UNK	data_dir	void
orange	canvas		UNK	cache_dir	void
orange	canvas		UNK	log_dir	void
orange	canvas		UNK	widget_settings_dir	void
orange	canvas		UNK	recent_schemes	void
orange	canvas		UNK	save_recent_scheme_list	UNK=scheme_list
orange	canvas		UNK	default_entry_point	void
orange	canvas		UNK	widgets_entry_points	void
orange	canvas		UNK	application_icon	void
orange	canvas.document	UserInteraction	UNK	start	void
orange	canvas.document	UserInteraction	UNK	end	void
orange	canvas.document	UserInteraction	UNK	cancelReason	void
orange	canvas.document	UserInteraction	UNK	isFinished	void
orange	canvas.document	UserInteraction	UNK	isCanceled	void
orange	canvas.document	UserInteraction	UNK	mousePressEvent	UNK=event
orange	canvas.document	UserInteraction	UNK	mouseMoveEvent	UNK=event
orange	canvas.document	UserInteraction	UNK	mouseReleaseEvent	UNK=event
orange	canvas.document	UserInteraction	UNK	mouseDoubleClickEvent	UNK=event
orange	canvas.document	UserInteraction	UNK	keyPressEvent	UNK=event
orange	canvas.document	UserInteraction	UNK	keyReleaseEvent	UNK=event
orange	canvas.document		UNK	reversed_arguments	UNK=func
orange	canvas.document	NewLinkAction	UNK	remove_tmp_anchor	void
orange	canvas.document	NewLinkAction	UNK	create_tmp_anchor	UNK=item
orange	canvas.document	NewLinkAction	UNK	can_connect	UNK=target_item
orange	canvas.document	NewLinkAction	UNK	set_link_target_anchor	UNK=anchor
orange	canvas.document	NewLinkAction	UNK	target_node_item_at	UNK=pos
orange	canvas.document	NewLinkAction	UNK	create_new	UNK=event
orange	canvas.document	NewLinkAction	UNK	connect_nodes	UNK=source_node UNK=sink_node
orange	canvas.document	NewLinkAction	UNK	edit_links	UNK=source_node UNK=sink_node UNK=initial_links
orange	canvas.document	NewLinkAction	UNK	cleanup	void
orange	canvas.document		UNK	edit_links	UNK=scheme UNK=source_node UNK=sink_node UNK=initial_links
orange	canvas.document		UNK	add_links_plan	UNK=scheme UNK=links UNK=force_replace
orange	canvas.document		UNK	conflicting_single_link	UNK=scheme UNK=link
orange	canvas.document	NewNodeAction	UNK	create_new	UNK=pos UNK=search_text
orange	canvas.document	RectangleSelectionAction	UNK	update_selection	UNK=event
orange	canvas.document	RectangleSelectionAction	UNK	viewport_rect	void
orange	canvas.document	RectangleSelectionAction	UNK	_bound_selection_rect	UNK=rect
orange	canvas.document	EditNodeLinksAction	UNK	edit_links	UNK=initial_links
orange	canvas.document		UNK	point_to_tuple	UNK=point
orange	canvas.document	NewArrowAnnotation	UNK	setColor	UNK=color
orange	canvas.document		UNK	rect_to_tuple	UNK=rect
orange	canvas.document	NewTextAnnotation	UNK	createNewAnnotation	UNK=rect
orange	canvas.document	NewTextAnnotation	UNK	defaultTextGeometry	UNK=point
orange	canvas.document	ResizeTextAnnotation	UNK	commit	void
orange	canvas.document	ResizeArrowAnnotation	UNK	commit	void
orange	canvas.document	SchemeEditWidget	UNK	__setupScene	UNK=scene
orange	canvas.document	SchemeEditWidget	UNK	__teardownScene	UNK=scene
orange	canvas.document	SchemeEditWidget	UNK	toolbarActions	void
orange	canvas.document	SchemeEditWidget	UNK	menuBarActions	void
orange	canvas.document	SchemeEditWidget	UNK	isModified	void
orange	canvas.document	SchemeEditWidget	UNK	setModified	UNK=modified
orange	canvas.document	SchemeEditWidget	UNK	isModifiedStrict	void
orange	canvas.document	SchemeEditWidget	UNK	setQuickMenuTriggers	UNK=triggers
orange	canvas.document	SchemeEditWidget	UNK	quickMenuTriggers	void
orange	canvas.document	SchemeEditWidget	UNK	setChannelNamesVisible	UNK=visible
orange	canvas.document	SchemeEditWidget	UNK	channelNamesVisible	void
orange	canvas.document	SchemeEditWidget	UNK	setNodeAnimationEnabled	UNK=enabled
orange	canvas.document	SchemeEditWidget	UNK	nodeAnimationEnabled	void
