seeders	new create seeder file
migrate	run database create migrations migration file new
one	morph decorator relationship one
seed	records seed database
through	many decorator relationship
index	index abstraction class
make	create creates seeder migration file new model class
wrapper	around provide dynamic wrapper relation functionality property
to	many belongs decorator relationship morph
belongs	many belongs decorator relationship
scope	scopes add local decorator
formatter	console format color text tokens cleo sequences output
status	list migrations up/down show
rollback	last rollback migration database
key	constraint abstraction class key foreign
by	many morphed decorator relationship
reset	rollback migrations database
has	many decorator relationship one
comparator	return two instance schemadiff compares schemas
morph	many one decorator relationship morph
url	represent used database url connect components
many	relationship morph many morphed belongs decorator
morphed	many morphed decorator relationship
constraint	constraint abstraction class key foreign
refresh	reset re-run migrations
foreign	constraint abstraction class key foreign
command	fillable aggregate quoted show text fnction results migrations prefix relation merge query second_key glue retrive row migration stub unique console generator instance implementation "union alternate eager add parents local columns reset guarded return string get far timestamp up/down number records shared referencing appendable datetime condition all" insert execute grammar name instances message drop list remove whether parameters defaults output identifier page replacement retrieve exists sequence chunk sync related group wrap second cleo pivot clauses event bdings index hide sub subselect "where" sum selected factory per current referential dry-run new method run operation/event repository given pluck seeder re-run key path post configuration table slug change definition joiner last joinclause extension constraint column querybuilder diff foreign creates amount action attributes expression options first load extra color clause primary nested visible boolean sequences operator apply bindings scope's select size use processor checked observer platform union it's create relations attach json call asset statement lock scope type record function direction keyword-based relationship deprecated. cloned tokens factories quotation count minimun join target keyword morph default purpose maximum value cast values match "on" schema average delete rename blueprint file attribute command faker ids parse raw seed exist increment rollback decrement id parent alias rather make format connection check also bool arguments destroy config normalize models update collection callable user sql date auto-incrementing class short database macro builder register order fluent callback flags clean directory definitions model original
install	create migration repository
relation	base relation decorator
model	creates new model class
