rating	represents product tuple user rating
lda	topic lda dirichlet latent 0 text allocation 1 documents 5 designed model : versionadded
sci	operations available tests vector depend pyspark mllib general scipy algorithms sparse test matrices
thresholds	probability thresholds number one threshold array classification excepting param 0 adjust largest class's > may p/t predicting mixin class must equal value p length classes values predicted multi-class original
random	methods classification randomforestclassifier <http supported private :class learning regression rdds generator wikipedia note forest samples randomforestregressor : random creating track org/wiki/random_forest>_ comprised class represents //en parameters algorithm fitted model experimental
cols	column inputcols param names mixin input
rest	parameters onevsrestmodel note onevsrest : experimental
kafka	information partition additional normal python rdd kafkardd transform wrapper kafka specific provide topic transformeddstream including kafkadstream offset message metadata
sccall	helper site setting call context spark
prefix	algorithm prefixspan patterns data mine parallel >>> sequential frequent model = [ fitted
session	point programming dataframe dataset api entry spark
map	map data type
invalid	rows handle later may skip handleinvalid error param throw filter bad added values invalid mixin entries options
statistical	multivariate matrix trait summary statistical data
threshold	binary [0 classification 1] prediction param range mixin threshold
query	active exception arrives handle streamingqueries failed manage :class execute executing stopped background new continuously query streamingquery data class
sqltransformer	implements defined transforms statement sql
elementwise	product vector e weight scales column outputs product) (i supplied element-wise hadamard input
als	alternating matrix factorization least squares als
projection	note : experimental
adding	accumulatorparam simple operators add values designed uses + types
transformer	:py : transformers jvm java/scala abstract transform implementations dataset note base developerapi another wrap model one class wrapper
execution	failed execute query
group	group iterator ] partition k2 k1 key items sorted [ it2 it1
scaler	individually set features max] 1] transform unit rescaling linearly absolute statistics dividing removing feature maxabsscaler also minmaxscaler samples largest [min min-max [-1 rescale scaling standardizes standardscaler known using class normalization :py represents training column vectors maximum value summary range common variance model fitted mean
fit	term fit whether fitintercept param intercept mixin
lbfgs	1 2 : versionadded 0
merger	shuffled dump merger aggregator disks together merge limit external goes memory usage data aggregated
aggregator	functions combiner useful aggregator tree merge values simpleaggregator cases combiners
base	model linear regression
point	represents java features udt point python type labels user-defined example scala demonstrate data class examplepoint
distributed	:py represents lda matrix rdds distributed distributively stored backed model one class fitted
spec	partitioning ordering specification boundaries window frame defines
param	selection accumulatorparam helper simple 1] self-contained mixing defines happens 1 given stats elasticnetparam + param penalty 0 add test l2 pstatsparam type regparam used search-based operators object conversion regularization elasticnet [0 uses designed mixin l1 accumulate alpha types 0) parameter builder documentation (>= merge range values pstats = grid model
short	short e data signed integer type 16-bit
bucketizer	features column buckets continuous feature maps
to	:py transformer corresponding string column back maps values indices new class
window	functions ordering specification dataframes partitioning boundaries window defines defining frame utility
abs	individually :py dividing [-1 rescale 1] feature value maximum range maxabsscaler largest model class fitted absolute
batched	automatically batches based stream object batch calling objects streams choose wrapped size serializer serializes
tf	term terms sequence frequencies trick maps using hashing
input	name column inputcols param names mixin input inputcol
svmwith	9 0 : versionadded
has	precise default skip thresholds random threshold variancecol 1 classification fit cache param penalty 0 maxiter input 2) regparam handle get p/t every numfeatures entries mixing term checkpointinterval name standardization solver = (>= p bad adjust -1 predicted l1 rawpredictioncol set weight probabilitycol prediction featurescol added elasticnetparam treeaggregate excepting label may classes max elasticnet l2 0) tolerance well-calibrated biased 'auto' predicting step intercept output throw suggested training estimates! g column items k iterative equal filter range variance multi-class options confidences class's features probability handleinvalid 1] number one names iterations array size confidence rows probabilities support checkpoint treat tol empty > conditional predictioncol inputcols stepsize convergence must 10 [0 whether itemscol iteration value optimization values error 1) outputcol treated later labelcol sample raw seed inputcol binary regularization fitintercept means length invalid note instance fitting largest weights parameter used standardize models checkpointed disable mixin alpha class e algorithm aggregationdepth interval depth algorithms weightcol model original
local	:py lda class non-distributed local model fitted
density	given probability density required rdd points samples estimate population
generalized	note : experimental
count	:py countvectorizermodel countvectorizer generates vocabulary extracts collections model document class fitted attr
tests	operations general see happens conversion depend scala make mllib param vector passed test algorithms type match available tests sure pyspark counterparts scipy lists javaparams matrices class :py they're default numpy arrays classes values sparse plain
mixture	gaussianmixture clustering mixture algorithm derived gaussian note experimental learning mixtures using model : method fitted expectation-maximization
handle	rows handle later may skip handleinvalid error param throw filter bad added values invalid mixin entries options
string	:py transformer corresponding string stringindexer column ml labels back indexer label maps values type indices new model data class fitted
python	udt python type user-defined example demonstrate examplepoint class
auto	based object batch protocol choose serialization pickle marshal automatically size
sparse	users format simple mllib csc stored may vector sparse passing data class matrix
stop	transformer filters stop feature words input
aggregation	suggested treeaggregate aggregationdepth (>= param depth mixin 2)
trees	represents classification algorithm gradient boosted tree trees learning gradient-boosted model regression
sorter	sort elements divide dump disks back extenalsorter merge finally memory chunks
assembler	transformer multiple column merges feature vector columns
indexed	represents rows matrix row-oriented distributed indexedrowmatrix indexed row
probability	confidences precise conditional estimates! name probability column probabilitycol param note probabilities models predicted mixin output treated class well-calibrated
grid	used search-based builder param selection grid model
lsh	note : experimental
words	transformer filters stop feature words input
step	used (>= iteration param stepsize step optimization mixin 0) size
integer	32-bit e int data signed integer type
one	category binary parameters maps column vectors onevsrestmodel single per encoder note one-hot onevsrest indices one-value : experimental row
ldamodel	:py clustering lda dirichlet latent derived distributed non-distributed allocation method model local class fitted
conversion	test happens conversion type param
double	double precision data type representing floats
standardization	training standardize features standardization whether param fitting mixin model
level	use rdd whether storage records controlling memory flags storagelevel
decimal	type decimal data
solver	set algorithm solver default 'auto' param optimization value mixin empty
list	they're hold plain arrays externallist make many list mllib lists cannot algorithms time passed memory test items numpy sure external
manager	manage :class active streamingqueries streamingquery class
iter	mixin max (>= number param iterations maxiter 0)
server	simple continuous tcp server handler shutdown() polling intercepts interrupt order
vector	features simple dataset mllib array vectorindexer transformer dense takes categorical merges feature developerapi note jvm new : type columns wrapper multiple users udt may outputs indexing use passing sql represented subarray data class :py column numpy user-defined value vector sparse model original fitted
multilabel	evaluator multilabel classification
logistic	2 1 logisticregression trained classification streaming predict train versionadded note 0 multinomial/binary experimental logistic 9 using model : data regression fitted
fpgrowth	mining algorithm mine fp-growth note frequent itemsets using model : parallel experimental
output	name column param mixin output outputcol
argument	illegal argument passed inappropriate
bisecting	"a karypis paper clustering based fit note modification document method kumar derived techniques" spark bisectingkmeans comparison : algorithm steinbach k-means fitted model bisecting experimental
classifier	trainer wikipedia supported based impurity org/wiki/decision_tree_learning>_ track <http decision measures tree private classifier random multilayer //en forest org/wiki/random_forest>_ perceptron class
atomic	represent used maps arrays everything internal udts null type structs
mlreadable	:py javamlreader mlreader provide private instances mixin class
square	note : experimental
illegal	illegal argument passed inappropriate
weight	set name weight 0 column param 1 instance weights treat mixin weightcol empty
multivariate	represents matrix tuple multivariategaussian(vectors sigma multivariate summary mu >>> data statistical trait =
utf8deserializer	deserializes written streams string getbytes
iteration	clustering algorithm power graph pic iteration scalable produced [[http [[poweriterationclustering]] developed model //www
train	note : experimental
kolmogorov	test kolmogorov-smirnov contains results
sync	helper site setting call context spark
numeric	data types numeric
streaming	set methods point predict manage kmeans dstreams streaming query streamingqueries streaminglinearalgorithm streamingquery regression linear clustering perform :class fitting functionality provides online new main inherited decayfactor arrives handle configure predicting update centroids base background entry active streamingcontext spark data class exception incoming algorithm executing k train stopped logistic continuously timeunit model
reader	load used storage :class dataframe streaming external interface (e systems
num	tests depend numfeatures pyspark number param general mixin numpy features
result	used special kolmogorov-smirnov contains results standard base hypothesis result test class iterable chi-squared
summary	multivariate matrix trait summary note statistical : data experimental
collector	different basis track per profilers keeps class stage
array	type array data
index	:py transformer corresponding string column back maps values indices new class
imputer	note : experimental
dense	use dense matrix column-major value vector represented array numpy
matrix	coordinate one matrices regularized stored trained row rdds rows dense matrix factorisation distributed least-squares csc indexed type alternating blocks udt format coordinatematrix sql backed meaningful represents local column-major user-defined sparse row-oriented indices entry model distributively
generator	utils data generating linear
decision	learning //en classification parameters models <http decision tree abstraction :class decisiontreeclassifier wikipedia mixin regression algorithm model decisiontreeregressor org/wiki/decision_tree_learning>_ fitted
svmmodel	model vector support machines svms
decomposition	represents factors svd singular value decomposition
label	name column labelcol param label mixin
rformula	note : experimental
mlwriter	:py specialization ml private instances mlwriter javaparams save class types utility
tracker	status monitoring apis reporting job progress low-level stage
features	name column number featurescol param mixin numfeatures features
svcmodel	note : experimental
boosted	represents classification algorithm gradient boosted tree trees learning gradient-boosted model regression
net	1 elasticnetparam [0 0 = 1] param penalty mixing range l2 mixin l1 elasticnet alpha parameter
lasso	term l_1 linear fit derived least-squares penalty 0 9 model : regression versionadded
reg	regparam regularization (>= param mixin 0) parameter
metadata	information partition kafka topic including offset message metadata
stat	:class functions functionality dataframe statistic
regex	regex provided based tokenizer java pattern extracts tokens dialect either text using split
slicer	takes outputs feature original vector subarray new class features
hash	note : experimental
linear	classification predict train utils private streaming linearregression streaminglinearalgorithm regression fit representing :class least-squares multiclass note 0 inherited 9 : abstract generating linear derived intercept base data class coefficients fitted vector experimental model versionadded
converters	note : developerapi
sgd	linear streaming predict 0 train logistic 9 model : data regression versionadded
broker	info represent broker kafka host port
expansion	said space perform wikipedia feature expansion polynomial
standard	set features unit statistics removing transform samples standardscaler scaling standardizes using class :py represents training column vectors summary variance model fitted mean
job	exposes information spark jobs
intercept	term fit whether fitintercept param intercept mixin
variance	biased name column prediction param sample mixin variance variancecol
compressed	serialized data compress
key	group iterator ] k2 k1 sorted [ it2 it1
offset	represents offsets single kafka range topicandpartition
smirnov	test kolmogorov-smirnov contains results
span	algorithm prefixspan patterns data mine parallel >>> sequential frequent model = [ fitted
spark	sparkcontext l{sparkcontext set point dataframe dataset exposes used information application various functionality main files added jobs paths resolves spark configuration represents programming api entry stages
by	group iterator ] partition k2 k1 key items sorted [ it2 it1
stage	exposes information spark stages
training	note : experimental
gbtregression	model :class fitted gbtregressor
elastic	1 elasticnetparam [0 0 = 1] param penalty mixing range l2 mixin l1 elasticnet alpha parameter
mlutils	load used methods helper mllib pre-process save data
