core	NoseWrapper	test	label verbose extra_argv doctests	run tests for module using nose %(test_header)s
robust		mad	a c axis center	the median absolute deviation along given axis of an array parameters
robust	Huber	__call__	a mu initscale axis	compute huber's proposal 2 estimate of scale using an optional initial value of scale and an optional estimate of mu
robust	Huber	_estimate_both	a scale mu axis	estimate scale and location simultaneously with the following pseudo_loop
robust	RobustNorm	rho	z	the robust criterion estimator function
robust	RobustNorm	psi	z	derivative of rho sometimes referred to as the influence function
robust	RobustNorm	weights	z	returns the value of psi z / z
robust	RobustNorm	psi_deriv	z	deriative of psi used to obtain robust covariance matrix
robust	RobustNorm	__call__	z	returns the value of estimator rho applied to an input
robust	LeastSquares	rho	z	the least squares estimator rho function parameters
robust	LeastSquares	psi	z	the psi function for the least squares estimator
robust	LeastSquares	weights	z	the least squares estimator weighting function for the irls algorithm
robust	LeastSquares	psi_deriv	z	the derivative of the least squares psi function
robust	HuberT	_subset	z	huber's t is defined piecewise over the range for z
robust	HuberT	rho	z	the robust criterion function for huber's t
robust	HuberT	psi	z	the psi function for huber's t estimator
robust	HuberT	weights	z	huber's t weighting function for the irls algorithm
robust	HuberT	psi_deriv	z	the derivative of huber's t psi function notes
robust	RamsayE	rho	z	the robust criterion function for ramsay's ea
robust	RamsayE	psi	z	the psi function for ramsay's ea estimator
robust	RamsayE	weights	z	ramsay's ea weighting function for the irls algorithm
robust	RamsayE	psi_deriv	z	the derivative of ramsay's ea psi function
robust	AndrewWave	_subset	z	andrew's wave is defined piecewise over the range of z
robust	AndrewWave	rho	z	the robust criterion function for andrew's wave
robust	AndrewWave	psi	z	the psi function for andrew's wave
robust	AndrewWave	weights	z	andrew's wave weighting function for the irls algorithm
robust	AndrewWave	psi_deriv	z	the derivative of andrew's wave psi function notes
robust	TrimmedMean	_subset	z	least trimmed mean is defined piecewise over the range of z
robust	TrimmedMean	rho	z	the robust criterion function for least trimmed mean
robust	TrimmedMean	psi	z	the psi function for least trimmed mean
robust	TrimmedMean	weights	z	least trimmed mean weighting function for the irls algorithm
robust	TrimmedMean	psi_deriv	z	the derivative of least trimmed mean psi function notes
robust	Hampel	_subset	z	hampel's function is defined piecewise over the range of z
robust	Hampel	rho	z	the robust criterion function for hampel's estimator parameters
robust	Hampel	psi	z	the psi function for hampel's estimator
robust	Hampel	weights	z	hampel weighting function for the irls algorithm
robust	TukeyBiweight	_subset	z	tukey's biweight is defined piecewise over the range of z
robust	TukeyBiweight	rho	z	the robust criterion function for tukey's biweight estimator parameters
robust	TukeyBiweight	psi	z	the psi function for tukey's biweight estimator
robust	TukeyBiweight	weights	z	tukey's biweight weighting function for the irls algorithm
robust	TukeyBiweight	psi_deriv	z	the derivative of tukey's biweight psi function notes
robust		estimate_location	a scale norm axis	m-estimator of location using self norm and a current
robust	RLM	_initialize		initializes the model for the irls fit
robust	RLM	predict	params exog	return linear predicted values from a design matrix
robust	RLM	deviance	tmp_results	returns the unnormalized log-likelihood from the m estimator
robust	RLM	_estimate_scale	resid	estimates the scale based on the option provided to the fit method
robust	RLM	fit	maxiter tol scale_est init	fits the model using iteratively reweighted least squares
robust	RLMResults	summary	yname xname title alpha	this is for testing the new summary setup
robust	RLMResults	summary2	xname yname title alpha	experimental summary function for regression results parameters
tsa		sumofsq	x axis	helper function to calculate sum of squares along first axis
tsa	AR	_transparams	params	transforms params to induce stationarity/invertability
tsa	AR	_invtransparams	start_params	inverse of the jones reparameterization
tsa	AR	_presample_fit	params start p end	return the pre-sample predicted values using the kalman filter notes
tsa	AR	predict	params start end dynamic	returns in-sample and out-of-sample prediction
tsa	AR	_presample_varcov	params	returns the inverse of the presample variance-covariance
tsa	AR	_loglike_css	params	loglikelihood of ar p process using conditional sum of squares
tsa	AR	_loglike_mle	params	loglikelihood of ar p process using exact maximum likelihood
tsa	AR	loglike	params	the loglikelihood of an ar p process parameters
tsa	AR	score	params	return the gradient of the loglikelihood at params
tsa	AR	information	params	not implemented yet
tsa	AR	hessian	params	returns numerical hessian for now
tsa	AR	_stackX	k_ar trend	private method to build the rhs matrix for estimation
tsa	AR	select_order	maxlag ic trend method	select the lag order according to the information criterion
tsa	AR	fit	maxlag method ic trend	fit the unconditional maximum likelihood of an ar p process
tsa		_autolag	mod endog exog startlag	returns the results for the lag length that maximizes the info criterion
tsa		adfuller	x maxlag regression autolag	augmented dickey-fuller unit root test the augmented dickey-fuller test can be used to test for a unit root in a
tsa		acovf	x unbiased demean fft	autocovariance for 1d parameters
tsa		q_stat	x nobs type	return's ljung-box q statistic x : array-like
tsa		acf	x unbiased nlags qstat	autocorrelation function for 1d arrays
tsa		pacf_yw	x nlags method	partial autocorrelation estimated with non-recursive yule_walker parameters
tsa		pacf_ols	x nlags	calculate partial autocorrelations parameters
tsa		pacf	x nlags method alpha	partial autocorrelation estimated parameters
tsa		ccovf	x y unbiased demean	crosscovariance for 1d parameters
tsa		ccf	x y unbiased	cross-correlation function for 1d parameters
tsa		periodogram	X	returns the periodogram for the natural frequency of x parameters
tsa		levinson_durbin	s nlags isacov	levinson-durbin recursion for autoregressive processes parameters
tsa		grangercausalitytests	x maxlag addconst verbose	four tests for granger non causality of 2 timeseries all four tests give similar results
