precondition	operation execute system rejected state
code	files set python upgrading 1 0 handles tensorflow class
forget	network recurrent long cell memory lstm unit short-term
iterator	disk iterator capable numpy abstract yielding iterators directory base image images array reading data class
saver	variables saves savers summaries checkpoint access take provides sequencequeueingstatesaver steps save seconds stateful base every checkpoints input interface class restores n listeners values action
global	layers different temporal wait_until_step max abstract global reaches 2d pooling step delays 1d spatial average operation execution data class 3d
dynamic	tests dynamic rnn learning estimators
cudnn	rnn-tanh rnn-relu gru rnn models cudnnrnn related without creates cudnn underlying benchmarks implementation using lstm model simple input_c
scalar	parent series scalar combine transforms class
entropy	distribution without entropy method normal
looper	runs optionally thread timer code repeatedly
query	return keys outputs reader table responds server sample values bigquery fake tf http requests data example schema
lookup	represents different represent sparse information column persists initializable feature needed lookup embedding steps interface table configuration across defines
decisions	layer inference features hard sampling single decisions paths learns decision hybrid samples test net data training made treats places neural tree embedding model soft
reparameterization	instances sampling reparameterized class represent
nested	(output generating rnn new_state) + cell state 1 input =
inverse	softplus distribution inversegamma concentration rate
chain	bij1 tests bij2 bijectors chain sequence correctness bij3 applies bijector = transformation
graph	helper almost float actions existing names computation stack use takes graph collections class implicit imperative tf tensorflow construction function tests form standard implementing step train every thread-local represented tensors providing quantized dataflow dumps default objects subgraph mode rewrites view
deterministic	real vector deterministic line r^k scalar base distribution distributions class
functions	tests feeding functions
grid2lstmcell	cell 2d receives output input lstm first creates gives
to	layer spacetobatch inference features visitor hard sampling single api batchtospacend pairs decisions paths given learns summarywriter decision ops hybrid forest samples test net summarizes tests batchtospace python combines input-output abstractly objects data protobufs implements training made treats places neural tree spacetobatchnd embedding model soft
init	enum-like request possible callback init session values take action on-session-init response
text	tensorboard text multi-line initializer api file table summaries string tables provides reader test newlines rich outputs registry delimited plugin lines ids summary initializers int64
stochastic	layer sampling observed interface paths learns decision stochastictensor valuetype hybrid classes samples stochastic tensor-like model basestochastictensor objects backed class training tree value base values distribution soft emit
spec	specifies ndim layer set partial eval dtype metric describe organized cluster shape api train infer functions model_fn specification ops maps specify passed tensorflow spec function tests hash returned metricspec buckets use connects possibly objects every key input device strong structure hashing represents "jobs" estimatorspec "tasks", changed list keyed estimator mode model
norm	constrains layer minmaxnorm weight maxnorm dropout recurrent benchmark batch constraint incident weights unit lstm norm hidden normalization
conv2dtranspose	transposed layer convolution sometimes deconvolution 2d called
grid1basic	basicrnn cell 1d basiclstm
string	tables string text ids initializer int64 file table
orthogonal	matrix orthogonal generates initializer
resample	tests outputs runs values resampling expected close
activation	function output activation applies
denied	raised caller run operation permission
saved	protocol builds buffer variables saves savedmodel assets
ndtest	tests spacetobatchnd ops batchtospacend pairs input-output
every	runs given monitors checkpoint callbacks base every execute steps n save class op
bounding	set itemhandler tensors boxes bounding parsed concatenates
rnnrelu	implementation cudnn model rnn-relu
truncated	distribution truncated generates normal initializer
tri	tril square helper/hidden operator done fake linearoperatorderivedclasstest additions matrix acting operatorpd handles tril+vdv multivariate tests normal triangular base class lower like r^k resulting linearoperator distribution [batch]
ref	variable processor
list	mapper container abstracting typed list wrapper fetch callbacks see tuples lists categorical_column_with_vocabulary_list namedtuples immutable
manager	creates training helper restores checkpoint session
large	tests belong run concat_op_test py large tensors
item	specifies function given via item-to-features itemhandler menu class mapping tensors item individual converts text-based parse_example tf navigation parsed history
vector	multivariate vector version student's t-distribution implementation deterministic times r^k scipy n fake input distribution repeats
delegate	division use divide python2/python3 delegation implement tensors
deadline	raised complete could expires deadline operation
pool	tests fractionalavgpoolgrad fractionalmaxpoolgrad
dir	directory set data debug-dump filesystem
rnncell	composed rnn_cells new_state) simple abstract slim +rnn sequentially 1 fused network rnncell + recurrent wrapper cell fusedrnncell state 1d basic input = creates gives basicrnn generating used multiple rnn adaptor object (output grid intersection representing neural cells 2d classes testing receives output first
initializable	interface lookup initializable table
prediction	enum-like makes prediction values model type
initializer	tables given ids string keys values int64 inherit tensors base lookup file initializers table initializer text class
strict1d	test function private
daoptimizer	dual algorithm models averaging sparse adagrad linear
rate	learning exponential transform softplus rate inversegamma scheduler concentration gamma
n	execute hook exception monitors callbacks step base every raises steps n class
pooling2d	layers inputs different e g max abstract global arbitrary layer 2d pooling images spatial average operation data class functions
append	helper docstring private public counterpart subclass promote class
index	files index name symbol list turn _guiderefs guide
length	outputs fixed-length file records reader
sub	tf graph existing subgraph view
diag	square softplus(diag_stddev) simple l matrices operator done linearoperatorderivedclasstest additions !> use diag_stddev cholesky matrix positive + definite acting symmetric 0 handles override = > multivariate tests uv^h normal uu^h diagonal tested base udu^h representing class ==> like multivariatenormaldiag well batch r^k classes resulting linearoperator cannot diag distribution [batch]
sum	series adds two
axes	indices tensor names axis
dropout1d	dropout version 1d spatial
cell	calculation linear-chain computes lstm happens gru network implementation recurrent wrapper cell fusedrnncell basic crf attention ensure device alpha class specific values block
sequential	training_test layers tests sequential py api covered model stack linear
apivisitor	use visitor exactly visit traverse api tf public
template	wrap function sharing variable aid
fractional	tests fractionalavgpoolgrad fractionalmaxpoolgrad
shared	wraps reuse variable scope subnetwork around
lstmblock	network helper implementation cells recurrent cell fusedrnncell provides basic lstm class housekeeping
public	use visitor exactly visit traverse api tf public
metadata	optionally container & observes runoptions hook embedding modifies runmetadata metadata
multivariate	multivariate diag_stddev softplus(diag_stddev) normal simple multivariatenormaldiag well r^k tested base override distribution = class
cropping2d	picture layer e g 2d input cropping
full	tests matrix positive definite wraps [batch] wishart done linearoperator base linearoperatorderivedclasstest distribution matrices class
hash	backing series fast table id out-of-vocabulary assigns perform wrapper tensors version structure mutable spec store tests hash string shardedmutablehashtable keys buckets sharded key implementation mutabledensehashtable using strong class specify keyed generic
tags	python section explicit tag rewrites guide
multinomial	multinomial distribution compound dirichlet-multinomial
hdf5matrix	used hdf5 dataset instead representation array numpy
residual	rnncell ensures added inputs outputs wrapper cell
len	real represents valued features column fixed-length feature parsing length tensor variable input configuration variable-length
cancelled	step cancelled raised operation
feeding	tests feeding feedingqueuerunner runner allows functions queue arrays values numpy
cholesky	!> use cholesky matrix positive + definite symmetric 0 wishart = > @ uv^h uu^h cannot udu^h matrices t; ==> compute positive-diagonal g l x distribution lower-triangular
method	used methods aggregation combine listing gradients class
strong	hash keyed structure key strong spec specify
change	loss tolerance change stops goes
patches	tests extractimagepatches gradient-checking functional op
box	set itemhandler tensors boxes bounding parsed concatenates
search	search returned outputs tests decoding beam finished grid decoder sampling final beamsearch
fetch	definition singleton structured dicts mapper mappers handler ops lists tensors tuples fetches namedtuples interface provided fetch
queue	operations prioritized runner list random implementations feeding implementation holds numpy tests elements run feedingqueuerunner enqueue base class thread dequeues arrays allows queue values order
binomial	distribution binomial negativebinomial
poisson	computation moments taking due large poisson time test distribution
action	test concrete enum-like basedebugwrappersession possible start init session values take implementation action call run()
fourier	implements rffm random feature mapping tensorflow fourier class
navigation	info containing outputs commands item individual navigation scroll history
options	files tfrecord elements return tensor observes optionally & runoptions hook used values manipulating watch_fn highlighting modifies runmetadata type options
iotest	tf operation tests io learn
control	control context calculating helper outputs manage flow mapping states loops maintain base graph caching control_outputs grad class topology
cache	tests manage calculating helper graph cache writers summary summarywritercache file caching control_outputs class
shuffle	queue containing batches shuffled implementation series random creates dequeues single elements order row
projection	adding given projection cell input operator output
tokenizer	text class tokenization utility
