multipart	represents l{_multipartmessagestructure} i{multipart/*} message structure
limited	l{ilogobserver} : stores buffer twisted >>> fixed events size
code	via l{_traceback} object used code l{_frame} fake
partial	disconnected downloaded middle got page partially
chain	point multiple look exchange many l{iresolver}s mail name records host lookup indicating error using trying address canonical
switched	longer switched level accept connections traffic amp protocols
skip	skip add
forbidden	l{forbiddenresource} http specialization returns code i{forbidden} l{errorpage} response
global	mix-in log global stop observers start
none	implementation nothing pid file
existing	implements handing l{_isshconnectioncreator} supplied existing connection ssh l{_existingconnectionhelper}
gairesolver	thread l{getaddrinfo} implementation calling l{ihostnameresolver} hostnames resolves
known	~/ structured file ssh/known_hosts openssh-format representation
manager	set managed xmpp smtp manager accounts jabber business managing responsible send mail smart relay exchange user's component host uses relayers representing attempt esmtp messages server queue connection logic router
fdset	use able l{ifiledescriptor} implement type resources
ilogging	information used log give item generated context events
esmtpsender	easily sending factory emails utility
cooperative	resumed task l{cooperator}, inside object paused stopped l{cooperativetask}
query	represent @ivar calls url factory method single client portion dns path query xml-rpc post
wsgiresponse	wsgi helper hooks drives threadpool application l{wsgiresource} l{http using
dirs	directory completes names
ptr	domain pointer name
componentized	mixin ways various allow adapted persistently
urllib2request	object c{urllib2 work request} fake c{cookielib}
dhgroup	hash sha-256 exchange defined key group diffie-hellman sha-1
kqueue	relies kqueue reactor python 2 uses 6 /kevent higher
patcher	things cover objects neat new attributes monkey-patching
iterator	passes mixin container provides iterator mechanism python since searching module sys writer elements common behavior entries path periodically buffers input
zone	represents saving time daylight without offset timezone fixed
xml	protocol stream pre-serialized xmpp streaming marker jabber event xml takes generic factory handler reconnection objects mixin class care handlers dom server pipe xmlstream client reconnecting
sshtransport	supporting endpoint protocol object packets dispatch functionality ssh basic sending/receiving message representing transport
esmtprelaying	managed relay esmtp messages send queue host uses relayers smart
send	outgoing protocol direct send connection client
imap	account consider require mailboxes implementors supplementary implementing cleanup interface close classes
iconsumer	data consumer consumes producer
