all	assets requiring days filter produce window_length consecutive true
aliased	aliased terms mixin
dollar	inputs **default transaction based average dollar daily volume commission cost [usequitypricing per ** calculates
month	last triggers days rule month nth trading n day
manager	objects create list callback manager manages context post-execution pre-execution event
adjustment	sqlite adjustment_reader adjustments actions close open in-memory based parameters writer read roll cls database contracts continuous ziplinetestcase sqliteadjustmentreader uses mixin data class level futures stores side either loads providing corporate calculates
row	row-wise applying factor transforms groups shape-preserving input transformation classifier-defined
graph	representation abstract dependencies term pipeline
environment	information financial mixin index zipline fixture ziplinetestcase free risk return rates env simulations benchmark depend providing class-level cls
init	raised magic users set_commission script initialize calls method returned
blaze	pipeline datasets expression abstract from_blaze estimates loader blaze events loads data pipelineloader constructed
stochastic	//wiki indicator https oscillator fast [%k indicator] stochastic momentum
iceexchange	calendar us ice exchange
predicate	function ndarray[bool] applying *args) filter (ndarray ->
lseexchange	00 exchange london time 8 calendar gmt open stock
risk	riskmetricscumulative instantiate :usage
usequity	loading data adjustments delegates daily dataset trading us volumes equity prices baselines representing pipelineloader pricing
daily	ohlcv raw frequency converts pricing disk bcolzdailyohlcvwriter slot capable bcolz_daily_bar_path bcolzdailyohlcvreader make_equity_daily_bar_data writing written call 1d provides reader cls used temporary format read object ziplinetestcase mixin data class minute efficiently last daily summary bcolzdailybarreader providing history
minute	abstract bcolzminutebarreader ohlcv see bcolz reindexbarreader disk parameters capable bcolzminutebarwriter writing written reader equity_minute_bar_days cls temporary format object ziplinetestcase update bcolz_minute_bar_path base mixin data class minute readers ---------- providing future_minute_bar_days
positions	ensures appear algorithm positions 'phantom' portfolio
list	restrictions based assets algorithm tradingcontrol restricted list cannot ordered security representing
hyo	compute hyo metrics kinko various ichimoku cloud
dir	raised fixture instance-level manager tmpdir style managing self wrapper 2 location new cls temporary python moved ziplinetestcase exceptions tempdirectory mixing class non-temporary context directory providing class-level
estimates	load pipeline forwards/backwards dates abstract estimates number loader datasets split-adjusted blaze expression variable needs calendar quarters data loads
